	0	1	MeanDecreaseAccuracy	MeanDecreaseGini
ASV_3944	21.54	23.47	23.41	3.33
ASV_233	15.95	15.26	16.45	1.81
ASV_177	15.28	14.56	15.95	1.66
ASV_14	12.04	11.01	13.14	1.27
ASV_4558	7.98	11.65	11.88	1.26
ASV_127	10.16	9.26	10.86	0.83
ASV_847	6.46	10.78	10.79	0.94
ASV_1	1.33	9.81	8.6	0.79
ASV_5486	8.57	5.03	8.32	0.45
ASV_753	2.3	8.16	8.09	0.5
ASV_1220	7.42	4.97	7.3	0.35
ASV_983	6.33	5.2	6.9	0.31
ASV_2075	6.63	5.23	6.87	0.27
ASV_445	6.38	5.38	6.81	0.24
ASV_132	-0.68	6.48	6.17	0.18
ASV_32	5.55	4.28	6.05	0.25
ASV_4475	2.14	6.06	5.78	0.26
ASV_297	5.13	2.4	5.27	0.19
ASV_4886	5.54	1.76	5.23	0.13
ASV_29	3.04	5.12	4.92	0.3
ASV_4147	1.27	5.6	4.88	0.32
ASV_1095	4.36	3.88	4.75	0.12
ASV_4759	4.83	2.69	4.69	0.06
ASV_4743	0.5	5.55	4.39	0.23
ASV_4626	4.32	2.75	4.35	0.08
ASV_5559	4.49	2.75	4.28	0.15
ASV_4926	2.42	3.8	3.99	0.23
ASV_4954	3.94	2.18	3.94	0.08
ASV_1867	4.31	1.77	3.92	0.09
ASV_664	3.71	0.08	3.6	0.11
ASV_3256	2.91	1	2.87	0.11
ASV_541	1.23	1.92	2.76	0.19
ASV_444	1.8	2.22	2.67	0.17
ASV_2257	2.46	1.95	2.64	0.12
ASV_154	-1.55	3.34	2.26	0.2
ASV_7	2.59	-0.87	1.62	0.13
