	0	1	MeanDecreaseAccuracy	MeanDecreaseGini
ASV_127	13.58	18.33	18.74	2.22
ASV_24	10.86	18.27	17.6	1.92
ASV_31	10.48	14.67	15.4	1.57
ASV_1087	10.31	13.6	14.99	1.34
ASV_94	9.82	13.15	14.26	1.61
ASV_69	7.73	14.35	14.12	1.85
ASV_617	12.87	9.73	13.43	1.3
ASV_1	5.88	12.55	11.59	1.46
ASV_144	8.67	8.8	10.9	1.23
ASV_7	6.29	10.05	10.47	1.11
ASV_106	4.77	11.06	10.23	1.14
ASV_369	8.89	5.75	8.56	0.59
ASV_5084	5.95	6.03	7.48	0.74
ASV_1709	7.5	5.25	7.39	0.3
ASV_1446	7.09	4.6	6.98	0.35
ASV_62	1.95	7.26	6.11	0.7
ASV_108	4.49	4.89	6.04	0.57
ASV_61	4.98	4.58	5.97	0.61
ASV_1583	5.77	2.29	5.19	0.44
