#OTU ID	CKqc1	CKqc2	CKqc3	CKqc4	CKqc5	CKqc6	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	CKhc1	CKhc2	CKhc3	CKhc4	CKhc5	CKhc6	0hqc1	0hqc2	0hqc3	0hqc4	0hqc5	0hqc7	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	0hhc1	0hhc2	0hhc3	0hhc4	0hhc5	0hhc7	3hqc1	3hqc2	3hqc3	3hqc4	3hqc5	3hqc6	3hmc1	3hmc2	3hmc3	3hmc4	3hmc5	3hmc6	3hhc1	3hhc2	3hhc3	3hhc4	3hhc5	3hhc6	6hqc1	6hqc2	6hqc3	6hqc4	6hqc5	6hqc6	6hmc1	6hmc2	6hmc3	6hmc4	6hmc5	6hmc6	6hhc1	6hhc2	6hhc3	6hhc4	6hhc5	6hhc6	9hqc1	9hqc2	9hqc3	9hqc4	9hqc5	9hqc6	9hmc1	9hmc2	9hmc3	9hmc4	9hmc5	9hmc6	9hhc1	9hhc2	9hhc3	9hhc4	9hhc5	9hhc6	12hqc1	12hqc2	12hqc3	12hqc4	12hqc5	12hqc6	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	12hhc1	12hhc2	12hhc3	12hhc4	12hhc5	12hhc6	24hqc1	24hqc2	24hqc3	24hqc4	24hqc5	24hqc6	24hmc1	24hmc2	24hmc3	24hmc4	24hmc5	24hmc6	24hhc1	24hhc2	24hhc3	24hhc4	24hhc5	24hhc6	48hqc1	48hqc2	48hqc3	48hqc4	48hqc5	48hqc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6	48hhc1	48hhc2	48hhc3	48hhc4	48hhc5	48hhc6	72hqc1	72hqc2	72hqc3	72hqc4	72hqc5	72hqc6	72hmc1	72hmc2	72hmc3	72hmc4	72hmc5	72hmc6	72hhc1	72hhc2	72hhc3	72hhc4	72hhc5	72hhc6	CKT1	CKT2	CKT3	CKT4	CKT5	CKT6	0hT1	0hT2	0hT3	0hT4	0hT5	0hT7	3hT1	3hT2	3hT3	3hT4	3hT5	3hT6	6hT1	6hT2	6hT3	6hT4	6hT5	6hT6	9hT1	9hT2	9hT3	9hT4	9hT5	9hT6	12hT1	12hT2	12hT3	12hT4	12hT5	12hT6	24hT1	24hT2	24hT3	24hT4	24hT5	24hT6	48hT1	48hT2	48hT3	48hT4	48hT5	48hT6	72hT1	72hT2	72hT3	72hT4	72hT5	72hT6	6hG1	6hG2	6hG3	6hG4	6hG5	6hG6	6hJ1	6hJ2	6hJ3	6hJ4	6hJ5	6hJ6	6hS1	6hS2	6hS3	6hS4	6hS5	6hS6	6hW1	6hW2	6hW3	6hW4	6hW5	6hW6	6hX1J	6hX2J	6hX3J	6hX4J	6hX5J	6hX6J	24hG1	24hG2	24hG3	24hG4	24hG5	24hG6	24hJ1	24hJ2	24hJ3	24hJ4	24hJ5	24hJ6	24hS1	24hS2	24hS3	24hS4	24hS5	24hS6	24hW1	24hW2	24hW3	24hW4	24hW5	24hW6	24hX1J	24hX2J	24hX3J	24hX4J	24hX5J	24hX6J
ASV_1	13910	17929	15595	7337	14538	17973	14317	17102	14273	14233	14859	3654	94	73	74	91	103	95	18041	10743	19888	16686	15727	18507	21243	21131	19153	16195	20461	19485	144	177	117	173	146	132	4074	17193	17615	17652	18760	19190	19139	19906	18909	18553	19801	16324	127	103	161	9	16	13	18217	15191	14789	19034	10782	14422	17206	20990	18466	18137	17823	19283	8	17	23	9	8	17	19131	17640	10438	18779	17097	12953	18622	19454	73	20891	16681	19579	11	17	10	13	15	22	18034	17584	12509	16730	11186	14567	18661	19265	14457	20133	18388	19379	18	15	17	10	10	17	17713	16661	4481	17911	19690	16660	17358	9778	6766	18615	19621	103	9	10	6	11	10	5	15897	12211	17008	19078	13505	16892	141	154	106	146	166	125	15	5	11	12	18	13	16524	16629	10572	16869	15965	13863	137	150	105	132	152	118	9	8	11	9	5	0	21	33	22	39	28	17	68	85	91	2	9	9	91	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	10	0	0	0	0	0	0
ASV_2	1909	1438	744	1219	2290	1403	457	991	1099	409	2879	296	6347	4682	3034	7352	5351	8613	3688	1340	1553	4132	5205	2373	545	748	1577	4677	407	881	12535	12531	13108	14064	13539	13832	133	3870	3364	3472	2831	2499	866	952	2494	1766	1379	4696	8453	9417	14012	10903	11494	10723	2709	5243	2459	2009	1340	6584	481	479	3056	2898	659	2445	10483	12988	11482	15761	6789	12983	1534	1225	1510	813	2800	407	1498	1878	146	822	1903	1935	7751	11962	4588	8998	7512	9772	3101	2872	1035	2804	1965	755	2197	1559	6245	1327	3214	489	4299	3588	5573	7041	4981	7853	3130	1900	584	1807	1268	1442	794	562	276	1481	2131	8776	3229	10904	368	3743	3822	104	748	1303	1384	2186	1094	2266	14213	11491	14566	12246	4540	12567	7405	935	11330	6911	5291	8749	4691	4635	143	2096	3375	1009	13804	10315	8550	14752	13575	6074	10403	8215	7563	10319	9574	6219	864	386	267	448	489	374	5707	2157	1046	95	163	64	9093	50	1994	3387	651	175	640	314	340	134	2937	1244	251	593	842	369	545	1022	953	53	706	1501	460	826	1439	1217	1293	647	1370	1300	482	2284	241	2215	499	633	2353	129	3469	889	524	2122	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	9	2	8	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	5	9	2	2	3	5	0	0	0	0	0	3
ASV_3	2	7	242	208	112	10	45	45	21	19	24	7	6	3	0	13	7	8	3	6	8	5	6	120	11	8	11	42	16	74	18	27	13	23	7	29	10	11	25	12	25	12	2	11	19	32	65	61	2	130	34	77	16	203	15	15	38	19	8120	41	16	18	4	19	3275	18	15	31	8	23	8364	42	86	66	43	83	617	105	882	160	45	43	800	27	748	12	14	169	478	126	10	56	67	67	51	30	6	58	220	58	43	20	7	5	703	36	19	184	43	668	15637	1612	49	727	393	162	9347	1322	62	5991	10	40	5632	496	184	12	419	20	111	67	1575	154	104	22	84	21	2085	54	122	2726	13	39	1093	32	8	7	2364	49	1459	339	4	10	1337	680	961	351	6	104	2607	197	965	274	5	11	9	14	16	7	8	1314	1452	1454	173	6521	35	19	439	3717	44	1406	7297	343	325	1286	7475	2247	44	409	12632	2583	1824	906	31	12070	58	392	540	118	117	302	8947	9088	1427	1321	302	2068	76	166	42	61	130	2039	2902	4432	8977	697	9	30	4	29	419	238	18	5377	4478	3467	14759	8979	28	1691	6	95	36	15	7	0	4	0	9	2	10	0	0	18	2	0	923	28	13193	2713	1564	1363	5465	1858	11434	11456	7112	13375	2382	14	8750	1575	1721	1643	0	0	0	0	0	0	0	97	0	0	0	0
ASV_4	3610	63	2233	11353	497	305	5601	8	41	4008	1608	17229	13742	15976	15140	10559	12158	4387	8	4	7	18	10	18	7	7	18	8	11	49	17	21	22	21	11	12	24	18	3	4	6	13	10	16	7	11	14	6	25	24	11	9	6	6	73	5	8	8	58	44	718	17	17	15	16	26	21	4	9	0	3	11	24	3	8643	318	65	1698	12	11	12739	5	17	52	20	3	4808	2468	2545	883	16	8	5	28	81	22	9	17	9	10	25	11	1	79	5	182	101	38	4	4	9	1	14	138	10	9	8	18	7	193	23	6	2	5	13	1917	8	190	9	7	10	7	15	54	20	12	16	15	6	463	5	4	2	3	14	13	7554	11	9	13	9	25	28	17	16	11	3	762	2184	13	10	13	2	4	4	1	3	3	4	11	10	0	0	0	0	1	2	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	4	3	2	1	1	0	5	94	0	0	0	1	0	0	0	0	4	14	1	0	15148	15043	12	6	853	10826	0	0	0	1	0	0	295	0	0	0	274	0	7	11	10	9	14	8	740	0	0	0	0	0	33	8	28	23	304	991	11	4	7	8	12	230	0	0	0	0	22	7	1	0	0	4	1	3	15	0	0	0	0	0
ASV_5	1	6	27	2	51	2	25	8	24	30	14	3	1	8	0	3	10	7	4	0	8	21	7	14	1	5	12	63	30	10	29	85	1	58	2	21	2356	3	0	20	18	6	16	45	1	38	46	44	311	166	12	296	53	105	8	6	56	50	23	30	27	10	47	29	7	7	73	24	35	25	12	19	36	54	25	76	31	10	34	103	13	18	158	8	63	120	6	115	188	58	36	44	39	11	28	90	80	78	8	6	6	37	7061	1104	125	205	49	2388	7	5	3	24	2	21	13	3	2	27	11	61	21	60	393	389	958	185	17	5	5	7	3	27	5	23	14	17	1	31	49	226	17	124	12	2247	5	1	6	1	6	2	1	4	2	12	2	4	94	12	89	64	78	2624	369	92	107	378	158	168	488	201	790	10575	10278	8532	3951	250	664	778	10426	2047	849	4896	7150	4185	876	3040	4437	5953	475	8995	4534	1163	4439	480	608	971	2206	2820	749	2164	406	249	2696	1517	1657	258	250	422	7870	555	1828	143	257	413	200	749	0	1	0	1	2	1	8	2298	534	1247	4	1	7	5	576	500	6	4	50	240	256	152	145	507	0	0	254	0	0	0	1	7	4	37	52	22	5	1	101	256	143	190	11	4	1	328	232	1004	875	112	510	1154	434	1385	0	0	0	0	1	0
ASV_6	3	1	0	8	1	2	3	0	1	1	0	2	606	530	2319	1808	1847	4153	4	1	1	4	1	3	1	1	14	8	3	11	1423	2479	4314	1602	3099	2311	0	6	3	0	1	0	9	10	14	11	9	26	996	3665	2789	3816	2925	2038	4	5	1	2	0	1	9	9	12	15	13	12	4292	4154	3589	3285	3257	2191	3	5	1	4	2	2	16	9	10	15	2	15	7359	4288	1286	1435	5554	5048	1	2	0	7	3	5	12	12	16	10	9	26	2052	1606	2067	2942	1739	2061	1	3	1	3	0	0	10	6	31	11	14	23	1022	4004	178	2838	1758	15	4	2	1	0	0	0	2592	3403	2411	3449	539	4869	9037	707	4657	3469	2966	3567	2	2	1	2	3	0	3476	3502	8695	1711	1394	863	7153	3553	3317	4120	3878	1440	42	22	5	27	15	13	64	74	55	0	1	6	2	0	1	1	0	1	16	5	4	4	10	28	1	2	4	7	16	0	1	1	1	6	5	1	1	7	9	30	3	15	14	8	1	10	4	4	5	20	6	19	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ASV_7	1	20	0	1	3	2	87	5	0	2	1	0	5	1	2	5	4	5	1	0	1	0	1	2	2	0	2	13	0	1	420	4	4	3	2	2	2	2	0	0	3	0	2	5	7	4	1	1	2	3	7	10	3	2	4	367	1208	0	13	3	4	1	21	0	4	1	4	4	21	6	2	4	3	1	3	0	2	4	1	1	5	2	3	0	2	4	13	5	11	4	4	0	2	1	1	18	4	3	2	2	1	1	4	5	10	12	21	20	3	324	0	4	1	0	2	9441	3	4	1	8	2	14	15	99	3	32	10	0	7	28	4	0	48	9	2	325	6	1	48	889	9	5439	31	3	5	7	9	2254	2	1	3	5	2	6	3	1	2	276	100	82	3	97	118	4	1	1	5	4	32	598	157	23	1	0	97	5	29	6	18	0	2	2	1	1	3	2	117	258	50	1	30	27	63	5	98	312	92	112	19	19	18	1	36	7	3	6	2	2	1	2	1	1051	7	1	3	7	4	3	6463	6474	23	23	3	180	828	92	79	12	0	0	1	1	4	1	0	1	0	1	0	0	11	62	95	8	224	1	45	16755	675	242	629	43	7	11	22	132	357	303	0	0	0	0	48	5	0	0	0	2	0	1	1	0	6	0	0	2
ASV_8	9	0	49	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	12	0	3	2	0	1	13	0	0	0	0	0	0	0	0	0	1	0	0	1	0	7	0	2	1	4	0	3	0	0	1	0	3	0	0	0	0	0	0	2	0	0	4	1	0	0	0	7	0	3	0	0	0	0	1	3	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	0	0	0	0	0	0	16	62	1	0	1	9	5	0	0	0	3	6	0	0	0	1	3	0	0	0	33	0	43	2	4	0	0	0	0	1	0	0	0	2	0	0	5	1	0	0	0	1	0	14	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1437	1455	11	6	101	148	607	1353	1	1	5	333	1135	423	339	425	1194	2	0	0	0	0	0	0	686	564	149	2725	224	586	2908	158	66	205	128	84	2091	743	22	25	2771	684	917	2	203	490	69	26	0	0	0	0	0	0	3804	1935	542	3263	2846	2576
ASV_9	0	0	0	0	0	0	0	0	0	0	6	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	2	2	0	0	0	2	1	0	3	0	0	0	1	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	1	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	28	0	1	0	1	4	0	0	0	46	1	0	6	0	0	0	2	1	6	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	18	0	1	0	2	0	0	0	2	0	4	2	0	6	1	1	0	4	0	17	0	1	0	1	4	1	0	0	0	0	1	3	2	2	3	0	0	2	0	0	2	3	1	2	1	13	2	1	11	34	9	17	23	32	0	1	4	8	25	24	3	42	5	21	35	11	21	17	17	11	7	2313	898	5494	512	2334	6167	1	1	5	2	3	0	7	0	2	0	0	0	44	27	54	46	69	43	2	3	1	5	3	11	2204	709	1017	2613	4009	4767	0	0	2	1	0	0	0	0	0	0	2	0
ASV_10	20	25	10	9	0	17	1	1	0	10	1	8	0	0	0	0	0	1	1	1	1	1	2	1	3	1	3	6	2	0	2	1	0	0	1	1	2	0	4	5	0	0	0	2	3	1	0	0	1	0	2	2	3	0	1	0	6	2	0	0	0	0	1	1	3	2	3	0	1	1	2	1	3	18	4	1	1	7	3	0	1	0	5	0	0	0	0	2	1	0	0	3	4	1	4	26	1	0	0	1	2	0	0	0	0	0	0	0	4	4	0	2	0	7	0	1	1	1	5	12	0	2	0	0	0	0	1	4	3	6	0	0	1	1	0	0	0	0	0	0	1	0	1	1	3	0	2	1	0	0	0	0	1	3	4	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	493	541	484	6271	2021	393	6	697	12	138	651	52	201	645	850	42	5	0	0	0	0	0	0	0	0	0	0	0	0	1872	56	92	3098	2043	2249	742	285	31	3	16	59	384	880	14	6	911	8	0	0	0	0	0	0	0	0	0	0	0	0
