Enzyme_ID	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6
E1	28	51	77	45	12	76	15	27	6	4	9	78	16	0	18	21	11	22	22	28	42	46	39	26
E2	42	83	132	63	63	103	28	44	14	15	45	87	21	2	75	49	31	35	30	54	58	77	32	49
E3	4	1	7	12	5	9	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
E4	7	23	28	31	10	34	4	10	13	12	2	41	5	0	4	4	13	5	6	15	15	16	13	6
E5	8	19	2	16	0	14	7	1	0	0	10	31	0	0	4	7	2	3	0	0	4	1	0	0
E6	3	19	18	19	1	25	1	7	6	7	3	28	6	1	3	6	6	2	8	7	9	8	6	13
E7	11	22	12	18	11	16	3	5	1	1	2	29	6	0	0	2	1	3	8	16	11	13	10	10
E8	6	38	42	31	9	23	9	4	6	1	0	36	12	0	3	8	10	10	11	16	29	25	18	15
E9	3	4	6	9	2	5	3	4	2	10	1	14	5	0	0	5	2	3	0	0	0	9	0	0
E10	1	3	2	1	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	0
E11	9	3	3	12	6	6	0	0	1	9	2	6	14	0	0	3	2	4	1	0	5	4	0	0
E12	9	14	12	13	3	30	0	7	1	1	3	29	1	0	0	11	10	2	13	7	14	18	7	4
E13	4	7	12	19	0	18	0	0	1	0	0	21	2	0	0	2	4	0	7	6	4	6	9	5
E14	1	0	0	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	4	0	0	0	0
E15	12	22	13	13	4	13	4	3	1	5	5	43	4	0	3	6	5	7	15	7	10	22	8	11
E16	4	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
E17	5	34	17	25	16	24	4	3	1	7	3	33	6	9	6	15	6	6	5	5	9	16	6	11
E18	9	4	4	5	2	7	2	14	1	1	6	7	2	0	1	6	4	3	2	3	1	3	0	1
E19	4	10	14	11	7	24	4	9	0	0	6	5	0	5	3	5	4	6	3	3	4	11	2	1
E20	2	15	12	16	5	15	0	9	6	1	0	18	1	0	0	4	11	3	8	4	11	9	16	5
E21	18	42	35	41	14	34	1	14	22	0	7	42	11	8	19	3	14	10	13	13	10	24	13	6
E22	6	13	16	20	2	22	1	2	1	8	4	22	1	2	2	3	5	7	8	4	8	7	5	5
E23	11	34	26	22	7	44	8	13	2	6	3	44	4	25	32	12	15	12	15	6	12	18	20	6
E24	11	27	26	15	4	26	1	17	12	1	7	30	5	0	3	3	5	9	5	17	8	10	8	12
E25	10	36	32	22	6	39	3	2	20	14	8	48	5	12	6	10	10	25	13	13	18	20	24	13
E26	18	35	45	39	8	33	7	14	4	8	8	49	10	2	11	5	10	18	9	7	20	11	10	13
E27	6	29	14	16	7	17	3	12	7	7	7	18	7	0	7	15	18	11	3	6	6	14	4	4
E28	5	7	6	10	3	14	5	1	1	0	9	26	1	0	2	7	4	8	2	1	1	4	4	9
E29	6	6	9	19	1	10	0	1	0	0	6	7	0	0	0	1	0	0	0	1	2	0	4	0
E30	11	11	22	19	15	20	19	9	8	18	19	20	8	3	7	12	13	18	1	0	1	22	6	8
E31	6	40	69	26	13	37	12	4	1	3	1	50	4	8	5	7	5	6	13	16	12	20	16	16
E32	10	38	62	53	8	61	10	17	2	0	9	72	6	24	12	8	24	4	7	30	7	11	23	13
E33	26	22	46	31	14	26	2	10	1	17	5	33	4	0	13	6	5	6	21	18	11	20	11	15
E34	26	51	56	40	15	39	12	18	9	6	2	38	7	0	11	9	24	20	25	8	20	24	35	11
E35	2	5	11	2	0	2	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
E36	4	7	12	4	3	7	5	10	1	2	0	5	1	0	0	5	0	1	0	0	0	7	0	0
E37	1	2	5	1	3	1	0	0	0	0	0	4	0	0	0	0	0	0	3	1	3	3	1	1
E38	7	15	15	17	8	19	1	0	1	0	0	21	1	0	0	6	1	1	8	10	21	15	14	13
E39	12	16	10	23	13	29	0	5	3	5	0	32	4	0	0	2	6	1	12	12	7	15	11	5
E40	5	6	13	10	2	15	0	0	0	0	0	8	0	0	0	0	2	0	1	2	1	7	1	2
E41	5	24	9	14	0	23	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	2	0
E42	2	8	2	8	5	11	0	9	1	1	0	11	1	0	0	4	11	3	10	4	7	8	13	5
E43	9	13	12	16	3	10	0	0	4	0	0	4	4	0	0	0	0	0	0	0	0	0	3	0
E44	11	47	29	33	18	27	3	12	1	1	4	35	4	2	3	7	5	4	14	14	11	10	14	8
E45	9	0	7	6	0	10	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0
E46	1	9	11	0	0	9	8	5	0	0	2	9	1	0	10	6	6	1	6	7	2	2	5	1
E47	20	30	31	46	18	54	6	4	14	17	5	69	16	0	6	14	35	5	6	18	15	17	14	10
E48	30	51	81	47	20	45	0	1	4	0	0	86	0	0	1	8	15	0	8	23	6	7	12	13
E49	68	123	176	90	42	169	59	69	39	45	54	165	44	56	88	72	98	29	60	60	53	90	53	55
E50	209	365	457	286	184	383	171	173	89	108	183	485	95	103	186	149	156	204	140	117	145	161	132	108
E51	9	26	20	25	3	18	7	1	1	3	1	41	15	0	1	5	5	7	12	4	8	13	13	6
E52	3	1	8	1	1	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E53	26	44	65	27	9	46	8	7	9	7	16	50	8	6	24	9	16	3	15	23	21	26	22	13
E54	3	8	6	5	1	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
E55	11	24	29	7	6	17	4	6	2	12	2	21	3	0	13	16	5	9	4	6	5	6	8	9
E56	11	24	29	7	6	17	4	6	2	12	2	21	3	0	13	16	5	9	4	6	5	6	8	9
E57	4	4	1	16	1	5	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0
E58	10	9	16	4	5	14	8	8	9	0	4	8	0	5	1	1	1	14	6	2	8	7	0	6
E59	3	13	30	9	7	14	8	6	0	0	10	32	0	1	15	5	6	2	6	14	8	12	7	4
E60	2	5	0	3	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
E61	10	19	39	8	9	28	9	15	6	0	9	32	4	4	13	11	12	18	12	7	4	12	19	14
E62	1	6	8	5	3	5	0	0	0	0	0	4	0	0	0	0	6	1	1	4	2	1	2	2
E63	4	2	4	1	7	1	0	0	0	0	0	1	0	0	0	0	0	0	2	3	4	3	3	1
E64	33	46	62	34	19	48	10	4	2	0	9	46	2	8	5	5	13	6	16	10	27	12	20	20
E65	6	15	22	31	5	17	2	13	1	0	5	21	4	0	13	7	1	1	4	6	7	12	4	4
E66	7	12	15	18	6	17	0	0	1	17	0	15	2	0	0	3	2	6	9	5	6	10	10	3
E67	4	2	2	1	2	2	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
E68	7	17	19	14	17	13	12	3	2	3	4	16	8	4	10	5	4	13	4	1	4	5	5	12
E69	82	98	142	85	46	135	40	29	26	36	35	161	12	13	36	43	54	30	54	58	55	88	87	52
E70	7	11	30	3	12	13	8	10	14	0	13	12	0	0	10	15	6	14	0	0	0	0	0	0
E71	5	10	8	3	1	8	1	0	1	1	3	4	1	0	0	5	7	1	10	1	7	2	2	3
E72	5	3	1	4	1	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
