"time","value","rank","std","r","Min","Max","Q25","Q50","Q75","PathwayID","Pathway","sign"
"0",52.1666666666667,13,58.0875775589469,6,0,161,15.75,41,57.25,"map04810","Regulation of actin cytoskeleton","ab"
"12",26.5,10.0833333333333,21.6032404976661,6,0,53,8.25,30.5,40.75,"map04810","Regulation of actin cytoskeleton","b"
"48",117,19,97.6319619796714,6,23,244,50.75,77.5,198,"map04810","Regulation of actin cytoskeleton","a"
"CK",15.1666666666667,7.91666666666667,21.2830135710774,6,0,54,1.75,5,21,"map04810","Regulation of actin cytoskeleton","b"
"0",5.16666666666667,12.25,10.2453241367302,6,0,26,0.25,1.5,2,"map00572","Arabinogalactan biosynthesis - Mycobacterium","b"
"12",2.66666666666667,12.1666666666667,3.07679486912382,6,0,8,0.25,2,3.75,"map00572","Arabinogalactan biosynthesis - Mycobacterium","b"
"48",0,5.5,0,6,0,0,0,0,0,"map00572","Arabinogalactan biosynthesis - Mycobacterium","c"
"CK",13,20.0833333333333,5.76194411635517,6,3,19,11.25,14,16.75,"map00572","Arabinogalactan biosynthesis - Mycobacterium","a"
"0",115,15.1666666666667,85.4611022629594,6,26,258,57,99,148.5,"map04260","Cardiac muscle contraction","a"
"12",42.1666666666667,5.33333333333333,9.88770280028009,6,25,51,38.25,46,48.5,"map04260","Cardiac muscle contraction","b"
"48",82.8333333333333,13.3333333333333,37.7646218922773,6,36,122,53,84,117.25,"map04260","Cardiac muscle contraction","a"
"CK",91.1666666666667,16.1666666666667,25.1190498758744,6,68,137,74.25,86,96.25,"map04260","Cardiac muscle contraction","a"
"0",87.3333333333333,14.6666666666667,96.8517767863175,6,7,275,32.25,67,82.25,"map04261","Adrenergic signaling in cardiomyocytes","ab"
"12",39.3333333333333,11.4166666666667,38.6764355475872,6,2,89,11,26.5,71.25,"map04261","Adrenergic signaling in cardiomyocytes","bc"
"48",108.666666666667,18.3333333333333,67.8075708654031,6,30,204,67.5,88,158,"map04261","Adrenergic signaling in cardiomyocytes","a"
"CK",12.3333333333333,5.58333333333333,18.0517773824814,6,0,43,0.25,2.5,20.5,"map04261","Adrenergic signaling in cardiomyocytes","c"
"0",102.333333333333,9.91666666666667,124.538615162795,6,30,350,39.5,43.5,92.5,"map05230","Central carbon metabolism in cancer","bc"
"12",49,6.25,18.7509999733348,6,29,72,36,43,65.75,"map05230","Central carbon metabolism in cancer","c"
"48",118.333333333333,15.1666666666667,45.7893728573199,6,82,191,84.75,97.5,145.5,"map05230","Central carbon metabolism in cancer","ab"
"CK",182.166666666667,18.6666666666667,72.1205010150835,6,68,249,141.5,217.5,223,"map05230","Central carbon metabolism in cancer","a"
"0",264.833333333333,8.58333333333333,298.404702822638,6,103,872,137.25,154.5,168.75,"map05111","Biofilm formation - Vibrio cholerae","b"
"12",167.166666666667,6.41666666666667,78.6776122328752,6,66,283,113.25,173,204.25,"map05111","Biofilm formation - Vibrio cholerae","b"
"48",401.5,16,70.474818197708,6,295,480,361.25,410,454.25,"map05111","Biofilm formation - Vibrio cholerae","a"
"CK",604.333333333333,19,206.415761672084,6,330,828,440.75,647.5,762.75,"map05111","Biofilm formation - Vibrio cholerae","a"
"0",116,7.91666666666667,151.213755988005,6,26,421,38.25,70,78.5,"map00460","Cyanoamino acid metabolism","b"
"12",79.1666666666667,8.91666666666667,24.0118026534175,6,41,112,71.5,78.5,91.5,"map00460","Cyanoamino acid metabolism","b"
"48",105.166666666667,13.8333333333333,20.3215813033008,6,70,122,97.25,112,120,"map00460","Cyanoamino acid metabolism","ab"
"CK",199.833333333333,19.3333333333333,67.8982081255954,6,92,262,162.25,218.5,253,"map00460","Cyanoamino acid metabolism","a"
"0",211,9.5,226.423497013892,6,58,655,93.75,109.5,211.5,"map04146","Peroxisome","bc"
"12",119.166666666667,6.33333333333333,38.0232385083999,6,67,169,94.25,122,143,"map04146","Peroxisome","c"
"48",245.833333333333,14.8333333333333,57.202855406585,6,195,327,205.75,221.5,287.5,"map04146","Peroxisome","ab"
"CK",374.833333333333,19.3333333333333,126.051444524316,6,204,509,281.5,396,474.5,"map04146","Peroxisome","a"
"0",274,8,312.907654109004,6,84,908,134.5,170,184.5,"map00220","Arginine biosynthesis","b"
"12",176.833333333333,7.66666666666667,85.2113059791168,6,34,264,138,208.5,225.75,"map00220","Arginine biosynthesis","b"
"48",300.666666666667,15.8333333333333,51.6862328542782,6,237,385,271.25,293.5,321.75,"map00220","Arginine biosynthesis","a"
"CK",539.5,18.5,236.415524024968,6,215,780,359.75,598.5,723.25,"map00220","Arginine biosynthesis","a"
"0",37.8333333333333,11.3333333333333,39.3213258508238,6,6,109,12,22.5,49.5,"map04940","Type I diabetes mellitus","ab"
"12",20.5,9.08333333333333,4.50555213042752,6,15,27,17,21,22.75,"map04940","Type I diabetes mellitus","b"
"48",31,12.0833333333333,18.1107702762748,6,16,60,18.75,22.5,41.25,"map04940","Type I diabetes mellitus","ab"
"CK",48.3333333333333,17.5,21.8051981570145,6,18,70,31.75,54.5,65.25,"map04940","Type I diabetes mellitus","a"
"0",219.833333333333,8.58333333333333,238.153241982272,6,84,703,114.5,128,156.5,"map00340","Histidine metabolism","b"
"12",126.5,6.25,52.2101522694581,6,49,178,92.5,137.5,169,"map00340","Histidine metabolism","b"
