#catalog	Pathway	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6
map04138	Autophagy - yeast	7	24	33	34	5	12	8	59	2	4	6	103	0	11	22	3	11	25	89	33	14	116	18	2
map04810	Regulation of actin cytoskeleton	1	0	26	54	6	4	39	161	0	43	8	62	0	41	40	4	21	53	244	84	44	236	71	23
map00572	Arabinogalactan biosynthesis - Mycobacterium	17	11	16	19	3	12	2	1	0	0	2	26	0	0	1	4	3	8	0	0	0	0	0	0
map04260	Cardiac muscle contraction	72	68	137	91	98	81	63	135	153	55	26	258	51	45	47	25	36	49	122	103	65	122	49	36
map04261	Adrenergic signaling in cardiomyocytes	1	0	43	26	4	0	87	275	7	68	21	66	2	89	86	6	26	27	175	107	67	204	69	30
map05230	Central carbon metabolism in cancer	117	215	220	224	68	249	46	108	30	41	39	350	39	29	35	47	72	72	159	105	83	191	82	90
map04020	Calcium signaling pathway	55	28	698	20	107	16	155	468	201	332	88	152	116	333	311	39	65	202	324	159	131	373	137	52
map05111	Biofilm formation - Vibrio cholerae	398	726	828	569	330	775	159	172	150	103	133	872	103	66	205	202	283	144	419	348	401	466	480	295
map04141	Protein processing in endoplasmic reticulum	42	59	67	226	21	76	22	136	14	54	21	204	22	44	40	21	25	129	162	80	54	218	58	22
map00460	Cyanoamino acid metabolism	153	247	255	190	92	262	81	71	28	26	69	421	41	70	112	76	81	95	122	95	120	120	104	70
map04146	Peroxisome	265	479	509	331	204	461	123	241	96	58	93	655	86	67	149	125	169	119	309	220	195	327	223	201
map00220	Arginine biosynthesis	292	634	780	563	215	753	187	177	84	125	163	908	118	34	228	219	264	198	287	329	266	385	300	237
map04940	Type I diabetes mellitus	27	46	63	70	18	66	18	57	10	27	6	109	23	27	22	20	16	15	47	18	16	60	21	24
map00340	Histidine metabolism	291	517	755	416	227	670	112	164	84	122	134	703	84	49	118	173	178	157	269	277	253	375	323	235
map04144	Endocytosis	11	0	23	76	3	3	25	149	0	72	13	107	0	7	69	15	25	42	198	78	78	225	47	18
map04024	cAMP signaling pathway	1	5	73	30	4	1	115	402	2	96	25	72	2	115	184	11	53	90	334	143	96	377	87	44
map04142	Lysosome	18	39	212	65	21	55	34	336	26	175	37	137	11	158	169	2	24	103	148	109	65	182	67	31
map00900	Terpenoid backbone biosynthesis	248	475	550	369	236	503	127	139	78	85	121	658	100	45	120	125	116	159	213	161	206	286	166	168
map05231	Choline metabolism in cancer	8	18	26	35	8	11	17	99	3	43	6	45	8	1	39	9	18	48	125	47	43	137	30	7
map00901	Indole alkaloid biosynthesis	2	0	2	6	2	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0
map00903	Limonene and pinene degradation	185	208	375	198	113	272	53	37	83	70	50	344	49	15	35	98	61	64	107	104	90	157	96	97
map00906	Carotenoid biosynthesis	8	37	17	36	7	35	9	12	18	6	6	67	1	2	4	10	7	11	12	20	9	8	3	2
map00908	Zeatin biosynthesis	3	29	35	21	1	30	1	8	9	5	2	36	5	2	7	3	2	5	18	13	15	15	18	4
map00909	Sesquiterpenoid and triterpenoid biosynthesis	9	11	36	17	2	15	0	0	0	0	0	15	0	0	0	0	0	5	15	15	12	13	21	15
map03060	Protein export	239	465	385	440	180	491	91	94	80	90	71	570	66	40	81	101	106	120	219	179	192	235	219	153
map04150	mTOR signaling pathway	1	16	23	29	0	4	28	212	0	24	3	71	0	18	55	1	23	315	153	53	55	189	20	6
map04151	PI3K-Akt signaling pathway	25	42	57	97	12	53	39	214	23	44	23	135	9	46	73	29	30	118	260	113	61	251	63	25
map05120	Epithelial cell signaling in Helicobacter pylori infection	25	71	79	69	16	83	7	60	23	13	7	102	4	1	34	17	28	16	87	53	40	98	50	25
map04152	AMPK signaling pathway	30	67	92	93	28	89	41	108	23	23	28	131	14	63	48	34	34	133	141	75	61	175	60	35
map00590	Arachidonic acid metabolism	19	37	36	34	14	25	11	25	7	4	4	42	2	5	14	9	9	18	44	28	43	56	23	19
map00470	D-Amino acid metabolism	203	461	543	343	204	457	111	142	86	53	125	537	74	58	197	138	131	121	171	210	207	265	168	182
map00350	Tyrosine metabolism	372	555	785	570	281	794	174	209	101	107	193	916	131	82	221	206	228	233	310	268	270	412	231	230
map00230	Purine metabolism	873	1788	1973	1437	601	1735	406	706	373	437	330	2243	265	180	475	440	528	457	850	732	649	1049	913	609
map00591	Linoleic acid metabolism	8	18	13	15	11	13	2	0	6	0	0	20	2	3	1	2	1	11	18	12	26	18	11	12
map01200	Carbon metabolism	1916	3676	4317	2996	1597	3823	1012	1072	557	686	870	5012	672	520	993	1018	1106	1007	1658	1565	1455	1862	1638	1283
map00592	alpha-Linolenic acid metabolism	9	28	51	34	7	31	24	18	3	9	21	78	3	16	31	12	12	24	53	30	29	51	40	25
map04713	Circadian entrainment	1	3	48	10	4	0	71	208	2	79	19	40	2	68	103	8	12	59	125	66	38	178	59	19
map04714	Thermogenesis	295	339	577	359	309	367	186	439	425	191	108	949	121	190	237	127	143	259	399	269	243	455	238	170
map00910	Nitrogen metabolism	295	801	887	600	321	897	220	227	135	178	163	1097	116	78	223	202	265	223	339	321	246	437	343	239
map03070	Bacterial secretion system	559	1131	1274	898	470	1322	318	339	222	191	293	1407	198	127	357	371	491	350	601	515	571	722	608	452
map05130	Pathogenic Escherichia coli infection	49	96	100	152	36	89	43	214	16	61	26	203	17	24	70	31	46	67	289	134	93	301	118	57
map05010	Alzheimer disease	204	209	405	327	209	199	142	542	360	141	61	887	105	167	236	86	100	161	457	250	197	544	167	96
map05131	Shigellosis	60	85	99	165	36	94	40	247	18	79	23	209	19	51	63	28	41	93	271	125	112	275	105	62
