"time","value","rank","std","r","Min","Max","Q25","Q50","Q75","funcs","tissue","sign","pathway","foldchange"
"0",110661.671666667,23.8333333333333,34262.5964942627,6,91094.25,179953.88,94112.71,97463.25,103115.465,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.23722893377785
"12",108749.391666667,29.6666666666667,19621.0812315462,6,95621.63,147718.61,98035.04,101981.45,106850.5925,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.21584910000296
"24",89443.165,15.3333333333333,19152.7057640729,6,52532.74,104920.64,89122.7625,94143.475,101137.97,"Fructose and mannose metabolism ","Foregut","b","Carbohydrate metabolism",1
"3",104249.126666667,21.5,21775.41755236,6,90737.62,148203.75,93655.725,97362.455,98896.8625,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.16553485855142
"48",101213.996666667,20.8333333333333,13882.4203964966,6,89563.76,126748.75,91475.92,98038.195,103714.4875,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.1316012427184
"6",102560.705,27.1666666666667,16569.6105452225,6,77353.29,127744.2,96933.015,102689.855,108077.185,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.14665782455261
"72",114612.105,32,23070.063763401,6,96063.8,155130.76,97832.3875,106401.185,123124.98,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.28139590096124
"9",115551.928333333,32.1666666666667,31553.5378075971,6,97498.8899999999,178823.3,99097.27,102521.28,111123.485,"Fructose and mannose metabolism ","Foregut","ab","Carbohydrate metabolism",1.29190339287897
"CK",137243.853333333,45,35296.3329652052,6,105117.22,203733.68,115534.5325,133422.715,137001.9175,"Fructose and mannose metabolism ","Foregut","a","Carbohydrate metabolism",1.53442527814544
"0",66922.6716666667,18.6666666666667,12844.9674708399,6,58498.46,92901.7199999999,61707.15,62613.225,63281.5125,"Galactose metabolism ","Foregut","b","Carbohydrate metabolism",1.04927441802441
"12",75305.425,32.8333333333333,17870.8517673442,6,62857.35,110000.49,64054.8375,69554.605,75621.59,"Galactose metabolism ","Foregut","ab","Carbohydrate metabolism",1.18070683705703
"24",63779.9516666667,18.3333333333333,7173.9622046716,6,53293.53,72166.03,60579.7,62925.625,69409.7875,"Galactose metabolism ","Foregut","b","Carbohydrate metabolism",1
"3",67583.2683333333,16.3333333333333,15966.7556138289,6,59144.34,100049.44,60246.9125,61893.73,62588.73,"Galactose metabolism ","Foregut","b","Carbohydrate metabolism",1.05963185244391
"48",71370.6566666666,29.3333333333333,10487.0741619589,6,60201.71,90128.43,64972.28,69966.74,73481.33,"Galactose metabolism ","Foregut","ab","Carbohydrate metabolism",1.11901396601351
"6",66809.4533333334,23.1666666666667,9150.46629408507,6,60256.02,85066.18,62192.5625,64119.32,65339.0075,"Galactose metabolism ","Foregut","ab","Carbohydrate metabolism",1.04749927818227
"72",79091.76,28.5,21931.1724650717,6,59776.86,111357.61,61070.57,72434.49,94057.0075,"Galactose metabolism ","Foregut","ab","Carbohydrate metabolism",1.2400724355101
"9",80479.6116666667,35.3333333333333,24572.5871524098,6,64587.72,129232.72,66763.465,71667.095,78362.3625,"Galactose metabolism ","Foregut","ab","Carbohydrate metabolism",1.2618324342307
