SampleID,Richness,Shannon,group,tissue,time
CKqc1,121,2.154828269,CK_qc,Foregut,CK
CKqc2,206,1.711454928,CK_qc,Foregut,CK
CKqc3,201,2.275047014,CK_qc,Foregut,CK
CKqc4,130,2.106567795,CK_qc,Foregut,CK
CKqc5,461,2.576675233,CK_qc,Foregut,CK
CKqc6,189,1.673915368,CK_qc,Foregut,CK
CKmc1,287,1.925616113,CK_mc,Midgut,CK
CKmc2,409,2.280889467,CK_mc,Midgut,CK
CKmc3,646,3.172268693,CK_mc,Midgut,CK
CKmc4,210,2.307392862,CK_mc,Midgut,CK
CKmc5,521,2.395225402,CK_mc,Midgut,CK
CKmc6,162,1.31946863,CK_mc,Midgut,CK
CKhc1,112,1.610482343,CK_hc,Hindgut,CK
CKhc2,152,1.453961125,CK_hc,Hindgut,CK
CKhc3,211,1.839405683,CK_hc,Hindgut,CK
CKhc4,163,2.193003353,CK_hc,Hindgut,CK
CKhc5,373,2.370015933,CK_hc,Hindgut,CK
CKhc6,608,3.371643139,CK_hc,Hindgut,CK
0hqc1,71,0.98385867,0h_qc,Foregut,0
0hqc2,65,1.458513925,0h_qc,Foregut,0
0hqc3,119,0.841455444,0h_qc,Foregut,0
0hqc4,110,1.382542628,0h_qc,Foregut,0
0hqc5,117,1.413939329,0h_qc,Foregut,0
0hqc7,125,1.184374604,0h_qc,Foregut,0
0hmc1,89,0.503608277,0h_mc,Midgut,0
0hmc2,91,0.509349109,0h_mc,Midgut,0
0hmc3,156,1.189586198,0h_mc,Midgut,0
0hmc4,201,1.489542746,0h_mc,Midgut,0
0hmc5,191,0.892443395,0h_mc,Midgut,0
0hmc7,161,1.21381102,0h_mc,Midgut,0
0hhc1,492,3.052308634,0h_hc,Hindgut,0
0hhc2,229,2.540221985,0h_hc,Hindgut,0
0hhc3,112,2.081795785,0h_hc,Hindgut,0
0hhc4,151,2.134677731,0h_hc,Hindgut,0
0hhc5,116,2.027555753,0h_hc,Hindgut,0
0hhc7,133,2.07234745,0h_hc,Hindgut,0
3hqc1,300,1.957880472,3h_qc,Foregut,3
3hqc2,182,1.292149992,3h_qc,Foregut,3
3hqc3,85,1.226927158,3h_qc,Foregut,3
3hqc4,148,1.204036241,3h_qc,Foregut,3
3hqc5,132,0.985759939,3h_qc,Foregut,3
3hqc6,92,0.873469966,3h_qc,Foregut,3
3hmc1,113,0.956492671,3h_mc,Midgut,3
3hmc2,236,1.05221843,3h_mc,Midgut,3
3hmc3,151,1.035538355,3h_mc,Midgut,3
3hmc4,251,1.348968223,3h_mc,Midgut,3
3hmc5,162,0.950148141,3h_mc,Midgut,3
3hmc6,153,1.382773424,3h_mc,Midgut,3
3hhc1,273,2.623492089,3h_hc,Hindgut,3
3hhc2,300,3.212899128,3h_hc,Hindgut,3
3hhc3,163,2.065871183,3h_hc,Hindgut,3
3hhc4,432,2.983701524,3h_hc,Hindgut,3
3hhc5,419,2.866855341,3h_hc,Hindgut,3
3hhc6,580,3.317557677,3h_hc,Hindgut,3
6hqc1,284,1.293655766,6h_qc,Foregut,6
6hqc2,140,1.590498149,6h_qc,Foregut,6
6hqc3,172,2.175172058,6h_qc,Foregut,6
6hqc4,145,1.027758925,6h_qc,Foregut,6
6hqc5,248,2.099933839,6h_qc,Foregut,6
6hqc6,147,1.522549669,6h_qc,Foregut,6
6hmc1,571,2.263039715,6h_mc,Midgut,6
6hmc2,195,0.644943868,6h_mc,Midgut,6
6hmc3,196,1.068857103,6h_mc,Midgut,6
6hmc4,139,1.192259836,6h_mc,Midgut,6
6hmc5,143,1.162147978,6h_mc,Midgut,6
6hmc6,117,0.901270319,6h_mc,Midgut,6
6hhc1,491,2.968669321,6h_hc,Hindgut,6
6hhc2,283,2.28710354,6h_hc,Hindgut,6
6hhc3,255,2.497685371,6h_hc,Hindgut,6
6hhc4,193,1.723579373,6h_hc,Hindgut,6
6hhc5,315,2.70416279,6h_hc,Hindgut,6
6hhc6,226,2.31492725,6h_hc,Hindgut,6
9hqc1,132,1.141618284,9h_qc,Foregut,9
9hqc2,156,1.726235024,9h_qc,Foregut,9
9hqc3,147,1.94359776,9h_qc,Foregut,9
9hqc4,214,1.483476782,9h_qc,Foregut,9
9hqc5,230,1.630165527,9h_qc,Foregut,9
9hqc6,131,2.154614964,9h_qc,Foregut,9
9hmc1,151,1.248814433,9h_mc,Midgut,9
9hmc2,166,0.974860702,9h_mc,Midgut,9
9hmc3,153,1.419804768,9h_mc,Midgut,9
9hmc4,174,0.64621401,9h_mc,Midgut,9
9hmc5,310,2.046859256,9h_mc,Midgut,9
9hmc6,117,0.894965435,9h_mc,Midgut,9
9hhc1,304,2.873617982,9h_hc,Hindgut,9
9hhc2,325,2.674189503,9h_hc,Hindgut,9
9hhc3,188,2.568520271,9h_hc,Hindgut,9
9hhc4,469,3.771216711,9h_hc,Hindgut,9
9hhc5,435,3.51952134,9h_hc,Hindgut,9
9hhc6,313,2.978478449,9h_hc,Hindgut,9
12hqc1,165,1.211048323,12h_qc,Foregut,12
12hqc2,177,1.435153522,12h_qc,Foregut,12
12hqc3,267,3.028564265,12h_qc,Foregut,12
12hqc4,168,1.633293446,12h_qc,Foregut,12
12hqc5,203,2.559315481,12h_qc,Foregut,12
12hqc6,140,2.217757273,12h_qc,Foregut,12
12hmc1,142,1.202978085,12h_mc,Midgut,12
12hmc2,195,1.141027917,12h_mc,Midgut,12
12hmc3,150,1.61141141,12h_mc,Midgut,12
12hmc4,146,0.857181484,12h_mc,Midgut,12
12hmc5,130,1.034976238,12h_mc,Midgut,12
12hmc6,168,1.179015595,12h_mc,Midgut,12
12hhc1,432,3.964913176,12h_hc,Hindgut,12
12hhc2,356,3.946039589,12h_hc,Hindgut,12
12hhc3,524,4.340524068,12h_hc,Hindgut,12
12hhc4,368,3.757110095,12h_hc,Hindgut,12
12hhc5,376,3.599788895,12h_hc,Hindgut,12
12hhc6,552,4.187412596,12h_hc,Hindgut,12
24hqc1,155,1.319236848,24h_qc,Foregut,24
24hqc2,200,1.92114126,24h_qc,Foregut,24
24hqc3,153,1.637137329,24h_qc,Foregut,24
24hqc4,199,1.322058428,24h_qc,Foregut,24
24hqc5,103,0.937735854,24h_qc,Foregut,24
24hqc6,183,2.028993357,24h_qc,Foregut,24
24hmc1,295,2.014318304,24h_mc,Midgut,24
24hmc2,201,2.001457224,24h_mc,Midgut,24
24hmc3,143,2.047352164,24h_mc,Midgut,24
24hmc4,222,1.211774665,24h_mc,Midgut,24
24hmc5,127,0.837403017,24h_mc,Midgut,24
24hmc6,296,3.305789468,24h_mc,Midgut,24
24hhc1,216,2.058312003,24h_hc,Hindgut,24
24hhc2,350,3.01868042,24h_hc,Hindgut,24
24hhc3,522,4.105493062,24h_hc,Hindgut,24
24hhc4,798,5.343711382,24h_hc,Hindgut,24
24hhc5,433,3.921997992,24h_hc,Hindgut,24
24hhc6,469,3.981417849,24h_hc,Hindgut,24
48hqc1,223,1.958977166,48h_qc,Foregut,48
48hqc2,179,1.778996917,48h_qc,Foregut,48
48hqc3,196,1.817185833,48h_qc,Foregut,48
48hqc4,148,1.009651014,48h_qc,Foregut,48
48hqc5,206,2.600505743,48h_qc,Foregut,48
48hqc6,264,1.768840551,48h_qc,Foregut,48
48hmc1,197,2.202135757,48h_mc,Midgut,48
48hmc2,271,2.654378711,48h_mc,Midgut,48
48hmc3,223,2.259757764,48h_mc,Midgut,48
