time,value,rank,std,r,groups,tissue,name
0,101.1666667,6.333333333,26.20241719,6,b,Foregut,Richness
12,186.6666667,34.08333333,44.29296408,6,a,Foregut,Richness
24,165.5,28.5,36.85512176,6,ab,Foregut,Richness
3,156.5,22.33333333,78.97784499,6,ab,Foregut,Richness
48,202.6666667,39.33333333,39.44447574,6,a,Foregut,Richness
6,189.3333333,32,61.47411379,6,a,Foregut,Richness
72,151.8333333,23.33333333,38.17023273,6,ab,Foregut,Richness
9,168.3333333,28.5,42.91697411,6,ab,Foregut,Richness
CK,218,33.08333333,124.4797172,6,a,Foregut,Richness
0,1.210780767,12.5,0.253274307,6,b,Foregut,Shannon
12,2.014188718,35.66666667,0.706110268,6,ab,Foregut,Shannon
24,1.527717179,24.16666667,0.412764005,6,ab,Foregut,Shannon
3,1.256703961,13.83333333,0.378640839,6,b,Foregut,Shannon
48,1.822359537,34.16666667,0.507827215,6,ab,Foregut,Shannon
6,1.618261401,27.33333333,0.448586969,6,ab,Foregut,Shannon
72,1.630934554,28.33333333,0.338717866,6,ab,Foregut,Shannon
9,1.67995139,29.16666667,0.354355903,6,ab,Foregut,Shannon
CK,2.083081435,42.33333333,0.344008131,6,a,Foregut,Shannon
0,148.1666667,17.08333333,48.20961177,6,b,Midgut,Richness
12,155.1666667,16.25,23.1033908,6,b,Midgut,Richness
24,214,30.33333333,72.28831164,6,ab,Midgut,Richness
3,177.6666667,23.75,53.9023809,6,ab,Midgut,Richness
48,238.1666667,39.83333333,26.65645638,6,ab,Midgut,Richness
6,226.8333333,22.58333333,171.5930263,6,ab,Midgut,Richness
72,210.3333333,31.33333333,62.29178651,6,ab,Midgut,Richness
9,178.5,22.75,67.31641702,6,ab,Midgut,Richness
CK,372.5,43.58333333,187.7303918,6,a,Midgut,Richness
0,0.966390124,14,0.403297384,6,c,Midgut,Shannon
12,1.171098455,18,0.25017268,6,bc,Midgut,Shannon
24,1.903015807,31.33333333,0.851355486,6,ab,Midgut,Shannon
3,1.121023207,17.5,0.194310293,6,bc,Midgut,Shannon
48,2.486318804,45.66666667,0.27350598,6,a,Midgut,Shannon
6,1.205419803,18,0.55603868,6,bc,Midgut,Shannon
72,2.355195631,42.83333333,0.359706441,6,a,Midgut,Shannon
9,1.205253101,19,0.493581751,6,bc,Midgut,Shannon
CK,2.233476861,41.16666667,0.607518479,6,a,Midgut,Shannon
0,205.5,11.91666667,146.7061689,6,b,Hindgut,Richness
12,434.6666667,36.08333333,84.6514422,6,ab,Hindgut,Richness
24,464.6666667,35.66666667,195.1426828,6,ab,Hindgut,Richness
3,361.1666667,27,146.311198,6,ab,Hindgut,Richness
48,443.8333333,33.83333333,191.5039599,6,ab,Hindgut,Richness
6,293.8333333,20.33333333,105.562146,6,ab,Hindgut,Richness
72,461.8333333,39.58333333,81.79588417,6,a,Hindgut,Richness
9,339,25.25,101.0089105,6,ab,Hindgut,Richness
CK,269.8333333,17.83333333,189.0348292,6,ab,Hindgut,Richness
0,2.318151223,13.33333333,0.405633866,6,cd,Hindgut,Shannon
12,3.965964737,45.33333333,0.271085585,6,a,Hindgut,Shannon
24,3.738268785,38,1.108624345,6,ab,Hindgut,Shannon
3,2.845062824,23.66666667,0.454859042,6,bcd,Hindgut,Shannon
48,3.671497196,35.66666667,1.217560971,6,ab,Hindgut,Shannon
6,2.416021274,15.66666667,0.424600987,6,cd,Hindgut,Shannon
72,3.532056319,36.66666667,0.639020704,6,ab,Hindgut,Shannon
9,3.064257376,28.16666667,0.479304998,6,bc,Hindgut,Shannon
CK,2.139751929,11,0.694846223,6,d,Hindgut,Shannon
0,227.6666667,7.666666667,51.22369243,6,d,Mixed gut,Richness
12,379.6666667,33.16666667,40.6874264,6,abc,Mixed gut,Richness
24,462.1666667,39.91666667,125.3098826,6,a,Mixed gut,Richness
3,297.3333333,18.16666667,60.27160747,6,bcd,Mixed gut,Richness
48,430.5,36.41666667,139.1901577,6,ab,Mixed gut,Richness
6,301.8333333,17.41666667,121.946573,6,cd,Mixed gut,Richness
72,380,33.16666667,53.77731864,6,abc,Mixed gut,Richness
9,335.8333333,24.58333333,100.0468224,6,abcd,Mixed gut,Richness
CK,431.6666667,37,118.4038288,6,a,Mixed gut,Richness
0,2.138333333,6.5,0.12416387,6,d,Mixed gut,Shannon
12,3.12,34.16666667,0.328207252,6,ab,Mixed gut,Shannon
24,3.536666667,43.16666667,0.616365692,6,a,Mixed gut,Shannon
3,2.34,11.91666667,0.247143683,6,d,Mixed gut,Shannon
48,3.67,44.16666667,0.6723392,6,a,Mixed gut,Shannon
6,2.433333333,14.83333333,0.405889969,6,cd,Mixed gut,Shannon
72,3.3,40.33333333,0.334484678,6,a,Mixed gut,Shannon
9,2.771666667,23.91666667,0.22736901,6,bc,Mixed gut,Shannon
CK,2.903333333,28.5,0.32988887,6,b,Mixed gut,Shannon
0,264.25,10,54.12353594,8,d,Whole gut,Richness
12,560.75,41.6875,54.22374282,8,b,Whole gut,Richness
24,655.5,50.5,60.96368943,8,a,Whole gut,Richness
3,367.625,26.125,53.46009861,8,c,Whole gut,Richness
6,329.25,20,34.21257079,8,c,Whole gut,Richness
9,278.625,10.625,32.35489585,8,d,Whole gut,Richness
CK,547.625,40.5625,77.85322729,8,b,Whole gut,Richness
0,1.122125,18.75,0.163144491,8,c,Whole gut,Shannon
12,4.365,49.0625,0.124556356,8,a,Whole gut,Shannon
24,4.16875,38.875,0.113066036,8,b,Whole gut,Shannon
3,1.160125,18.125,0.359114163,8,c,Whole gut,Shannon
6,1.195,22.0625,0.169957978,8,c,Whole gut,Shannon
9,0.865625,7.0625,0.088825571,8,d,Whole gut,Shannon
CK,4.32,45.5625,0.162568667,8,ab,Whole gut,Shannon
0,0.129107547,6.666666667,0.008479103,6,b,Foregut,Stability
