"tSNE1","tSNE2","SampleID","tissue","time","group","NA"
24.6046092222136,5.57137762944921,"CKqc1","QC","CK","CK_qc","CK"
-9.09299655079013,14.3742410240327,"CKqc2","QC","CK","CK_qc","CK"
18.6851040260029,5.73529629086214,"CKqc3","QC","CK","CK_qc","CK"
45.9255516789737,11.0834636797796,"CKqc4","QC","CK","CK_qc","CK"
19.9744916612062,-2.97238379528307,"CKqc5","QC","CK","CK_qc","CK"
-9.64139654648173,20.4309870530979,"CKqc6","QC","CK","CK_qc","CK"
-27.869566492196,-3.98648114582511,"0hqc1","QC","0h","0h_qc","0.001"
34.8455286767416,-10.6712167489847,"0hqc2","QC","0h","0h_qc","0.001"
-24.828456315589,26.5110603360326,"0hqc3","QC","0h","0h_qc","0.001"
-12.8923553102708,-16.0789015506091,"0hqc4","QC","0h","0h_qc","0.001"
-11.5023106354792,-25.712995714774,"0hqc5","QC","0h","0h_qc","0.001"
-18.8029203422931,15.5385420323636,"0hqc7","QC","0h","0h_qc","0.001"
41.2734751940239,-26.4314563806855,"3hqc1","QC","3h","3h_qc","3"
-19.2913389514192,-12.1109208400955,"3hqc2","QC","3h","3h_qc","3"
-19.2937650498617,0.151715284633806,"3hqc3","QC","3h","3h_qc","3"
-21.6359711674275,-5.70088920706548,"3hqc4","QC","3h","3h_qc","3"
-27.2453834382859,10.7091098212655,"3hqc5","QC","3h","3h_qc","3"
-25.1084207940773,18.7870618047988,"3hqc6","QC","3h","3h_qc","3"
-19.9772270895133,8.53817031630072,"6hqc1","QC","6h","6h_qc","6"
-14.9404169178829,-31.1351830103306,"6hqc2","QC","6h","6h_qc","6"
15.8410528250365,-7.27999607566318,"6hqc3","QC","6h","6h_qc","6"
-31.2428365148576,25.1501318117238,"6hqc4","QC","6h","6h_qc","6"
17.549597906134,-21.9698592217463,"6hqc5","QC","6h","6h_qc","6"
-21.5465509420089,-30.8163099131484,"6hqc6","QC","6h","6h_qc","6"
-19.0036371423885,30.1801120676687,"9hqc1","QC","9h","9h_qc","9"
-2.68527297328227,15.5655077494521,"9hqc2","QC","9h","9h_qc","9"
44.945720877368,5.46174986882403,"9hqc3","QC","9h","9h_qc","9"
-16.0052651090051,24.1334461454286,"9hqc4","QC","9h","9h_qc","9"
-6.78888402491079,-0.557864886773155,"9hqc5","QC","9h","9h_qc","9"
35.4102037919916,-23.4191881219003,"9hqc6","QC","9h","9h_qc","9"
-25.2200411695677,2.66993349417517,"12hqc1","QC","12h","12h_qc","12"
-13.5541702451828,3.63639874769312,"12hqc2","QC","12h","12h_qc","12"
26.768511409858,-9.07826386197451,"12hqc3","QC","12h","12h_qc","12"
-5.7040800468794,-7.41016863923221,"12hqc4","QC","12h","12h_qc","12"
30.3827506623924,-2.79720938793252,"12hqc5","QC","12h","12h_qc","12"
30.920715452644,-20.7205200177636,"12hqc6","QC","12h","12h_qc","12"
-14.6714181831264,-3.90227813391531,"24hqc1","QC","24h","24h_qc","24"
2.88987413292386,2.36243491664935,"24hqc2","QC","24h","24h_qc","24"
16.0694318414666,-28.109165002353,"24hqc3","QC","24h","24h_qc","24"
-2.25027855888463,25.5442053298651,"24hqc4","QC","24h","24h_qc","24"
-26.9489311441102,33.124647448019,"24hqc5","QC","24h","24h_qc","24"
8.78110142059948,3.2432828408764,"24hqc6","QC","24h","24h_qc","24"
6.73557286388691,-6.5476930331959,"48hqc1","QC","48h","48h_qc","48"
22.2293119931421,17.0302558486374,"48hqc2","QC","48h","48h_qc","48"
3.24613075872226,10.7739750867522,"48hqc3","QC","48h","48h_qc","48"
-31.5354962397259,18.0753906260825,"48hqc4","QC","48h","48h_qc","48"
20.9297396998469,-14.110864108826,"48hqc5","QC","48h","48h_qc","48"
-3.60332027228829,5.45313155378756,"48hqc6","QC","48h","48h_qc","48"
-22.7432928938854,-20.1105241275319,"72hqc1","QC","72h","72h_qc","72"
-16.7615253371415,-21.4127731048873,"72hqc2","QC","72h","72h_qc","72"
40.123814679746,7.42076142055704,"72hqc3","QC","72h","72h_qc","72"
10.2411622735569,15.3063516658955,"72hqc4","QC","72h","72h_qc","72"
-3.58697607818453,-16.2347222562679,"72hqc5","QC","72h","72h_qc","72"
7.6010494285198,-13.2849136079397,"72hqc6","QC","72h","72h_qc","72"
