"","Dim 1","Dim 2","time","wo","wt","time1","weight"
"0hmc1",-0.217071803710103,-0.0437549344316354,"0",29.17,50.06,"0",20.89
"0hmc2",-0.216305031301829,0.00170696807518336,"0",20.04,27.63,"0",7.59
"0hmc3",-0.183978473183666,0.0495078216516744,"0",21.28,34.96,"0",13.68
"0hmc4",-0.187610629170478,-0.0148375884147634,"0",28.83,37.75,"0",8.92
"0hmc5",-0.208748251327516,-0.0675894726228146,"0",39.35,66.86,"0",27.51
"0hmc7",-0.227090791690643,0.0136836946524472,"0",25.81,42.34,"0",16.53
"3hmc1",-0.212315457667093,-0.00457078067745152,"3",22.48,35.93,"0",13.45
"3hmc2",-0.221018261863676,0.00445025442907473,"3",23.13,37.25,"0",14.12
"3hmc3",-0.22061071602965,0.00700383704101838,"3",23.01,36.18,"0",13.17
"3hmc4",-0.146102839702839,-0.10733581998,"3",28.96,47.85,"0",18.89
"3hmc5",-0.213448573237488,-0.0176300689955095,"3",22.51,36.32,"0",13.81
"3hmc6",-0.0864139832439733,0.228961117253515,"3",25.63,38.71,"0",13.08
"6hmc1",-0.217094884535676,0.0126711543298734,"6",33.45,56.36,"0",22.91
"6hmc2",-0.210209094171763,0.0256024963167654,"6",34.45,52.48,"0",18.03
"6hmc3",-0.20636777314172,-0.0510847864723054,"6",24.07,37.54,"0",13.47
"6hmc4",-0.207644741676195,-0.00203068255999585,"6",29.81,55.48,"0",25.67
"6hmc5",-0.22022049403071,-0.0153768019822428,"6",21.64,30.3,"0",8.66
"6hmc6",-0.205618994645234,0.000922696903138043,"6",26.54,43.48,"0",16.94
"9hmc1",-0.217942291866663,0.0402563337419347,"9",24.89,37.68,"0",12.79
"9hmc2",-0.20322861715068,-0.0227332690377681,"9",20.24,30.4,"0",10.16
"9hmc3",-0.117600668186089,-0.208415726223909,"9",22.55,34.3,"0",11.75
"9hmc4",-0.210713614281843,-0.0159690923136294,"9",25.18,36.84,"0",11.66
"9hmc5",-0.166376310698933,0.10026337411077,"9",26.58,37.96,"0",11.38
"9hmc6",-0.180359911876932,0.0630854497856705,"9",28.54,40.65,"0",12.11
"12hmc1",-0.21917093344787,0.00860379213431583,"12",26.69,38.68,"0",11.99
"12hmc2",-0.21549793408113,0.0417474869674849,"12",29.4,50.98,"0",21.58
"12hmc3",-0.193870250278185,-0.0124180314802562,"12",24.72,36.78,"0",12.06
"12hmc4",-0.21016582130494,-0.00839838726002042,"12",22.07,36.16,"0",14.09
"12hmc5",-0.217511542660393,0.0185628704994764,"12",27.77,43.98,"0",16.21
"12hmc6",-0.220010726620128,-0.0239086394783381,"12",22.12,32.22,"0",10.1
"24hmc1",-0.21444230084609,-0.021923370600989,"24",27.76,38.54,"0",10.78
"24hmc2",-0.207809394326853,-0.00548109993044006,"24",34.79,52.25,"0",17.46
"24hmc3",-0.0374820191584199,0.067146363535974,"24",27.9,41.58,"0",13.68
"24hmc4",-0.212111898872059,0.0444425815246921,"24",23.82,35.63,"0",11.81
"24hmc5",-0.205044439839637,-0.0179089078588144,"24",25.28,36.68,"0",11.4
"24hmc6",0.0691209413188058,0.181466887170234,"24",21.52,27.67,"0",6.15
"48hmc1",0.697091662045332,0.0861649435730377,"48",23.46,31.74,"1",8.28
"48hmc2",0.696061230162644,-0.0144058979519639,"48",22.44,30.68,"1",8.24
"48hmc3",0.457297579298749,0.309323905826102,"48",25.99,41.03,"1",15.04
"48hmc4",0.654753975873799,0.084557242675185,"48",39.71,48.72,"1",9.01
"48hmc5",0.26409345429945,-0.347696427066949,"48",35.09,65.76,"1",30.67
"48hmc6",0.751862971018578,-0.0414290323288876,"48",21.87,29.52,"1",7.65
"72hmc1",0.554205107915637,0.103804065298593,"72",30.31,53.98,"1",23.67
"72hmc2",0.547034863179058,-0.2036879561973,"72",20.21,35.99,"1",15.78
"72hmc3",0.63695574496851,-0.0851330196194207,"72",38.37,72.36,"1",33.99
"72hmc4",0.45357992717247,-0.287084555167622,"72",30.91,50.68,"1",19.77
"72hmc5",0.615895337596932,0.183759311466353,"72",35.09,63.62,"1",28.53
"72hmc6",0.45925667497713,-0.0368903003094781,"72",32.87,59.38,"1",26.51
