"","48hmc1","48hmc2","48hmc3","48hmc4","48hmc5","48hmc6"
"ASV_82",1,0,0,0,0,1
"ASV_92",3,6,2,2,0,5
"ASV_94",12,1,41,18,43,36
"ASV_109",1,1,0,0,1,1
"ASV_148",1,0,0,0,0,0
"ASV_205",1,0,2,0,0,0
"ASV_219",2,0,1,0,0,1
"ASV_275",1,0,0,3,0,0
"ASV_297",1,2,0,0,0,14
"ASV_320",2,0,0,0,0,0
"ASV_352",1,0,1,0,0,2
"ASV_366",2,2,1,5,0,0
"ASV_466",3,1,0,0,0,0
"ASV_509",1,0,1,0,0,0
"ASV_550",8,16,71,0,81,0
"ASV_641",2,1,0,0,0,0
"ASV_649",1,0,0,0,0,0
"ASV_727",1,0,0,0,0,0
"ASV_749",1,1,0,0,0,10
"ASV_753",15,7,12,10,1,8
"ASV_755",1,0,0,0,0,0
"ASV_761",1,0,0,0,0,5
"ASV_772",1,0,0,0,0,0
"ASV_911",1,0,0,0,0,0
"ASV_931",1,0,0,0,0,0
"ASV_968",4,0,12,0,7,2
"ASV_1095",4,6,20,0,20,0
"ASV_1134",5,1,0,1,0,0
"ASV_1180",1,0,0,0,0,0
"ASV_1208",1,0,0,0,0,1
"ASV_1213",1,1,0,0,0,0
"ASV_1274",1,0,0,0,0,0
"ASV_1504",14,0,0,0,0,0
"ASV_1532",1,0,0,0,0,0
"ASV_1587",3,0,0,0,0,0
"ASV_1721",1,0,0,0,0,0
"ASV_1985",2,0,0,0,0,0
"ASV_1998",1,0,0,0,0,0
"ASV_2222",1,0,0,0,0,0
"ASV_2257",1,0,3,4,0,0
"ASV_2265",1,0,0,0,0,0
"ASV_2289",1,0,0,0,0,0
"ASV_2360",1,0,0,0,0,0
"ASV_2462",1,0,0,0,0,0
"ASV_2474",1,0,0,0,0,0
"ASV_2561",2,1,4,0,0,0
"ASV_2685",1,0,0,0,7,0
"ASV_2699",2,0,0,0,0,0
"ASV_2780",2,0,0,0,0,0
"ASV_2831",1,0,0,0,0,0
"ASV_3220",1,0,0,0,1,0
"ASV_3380",6,0,3,0,5,0
"ASV_3391",1,0,0,0,0,0
"ASV_3459",3,0,0,0,0,0
"ASV_3804",14,0,0,0,44,2
"ASV_3928",1,0,1,0,0,0
"ASV_3944",7,4,3,6,6,3
"ASV_4037",1,0,0,0,0,0
"ASV_4132",3,0,0,15,1,1
"ASV_4510",1,0,1,0,1,0
"ASV_4618",1,0,1,8,0,0
"ASV_4770",3,0,0,0,0,0
"ASV_4886",11,2,1,0,27,1
"ASV_4952",1,0,1,0,2,1
"ASV_4954",4,5,3,1,0,2
"ASV_4972",1,0,0,4,0,0
"ASV_4981",2,0,0,0,0,0
"ASV_5007",2,0,0,0,0,1
"ASV_5320",2,0,0,2,0,0
"ASV_5454",1,0,0,0,0,0
"ASV_5503",1,0,0,2,0,1
"ASV_5559",1,5,0,0,0,4
"ASV_5560",1,0,0,1,0,0
"ASV_30",0,1,0,0,0,0
"ASV_90",0,1,0,0,0,0
"ASV_102",0,2,0,0,0,1
"ASV_104",0,1,0,0,0,0
"ASV_127",0,5,10,3,11,7
"ASV_136",0,8,0,3,0,3
"ASV_152",0,1,0,0,2,1
"ASV_163",0,2,0,0,0,0
"ASV_191",0,5,21,0,0,0
"ASV_195",0,2,1,0,0,0
"ASV_207",0,3,0,1,0,0
"ASV_210",0,1,4,0,0,0
"ASV_217",0,1,0,0,0,0
"ASV_282",0,1,0,3,0,17
"ASV_284",0,4,1,0,0,2
"ASV_295",0,3,0,0,0,0
"ASV_298",0,3,1,4,0,1
"ASV_317",0,1,0,0,0,0
"ASV_341",0,1,0,1,0,36
"ASV_375",0,6,0,0,0,37
"ASV_433",0,1,0,0,0,0
"ASV_577",0,1,0,0,0,0
