"ASV_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tissue","time","PC","Family","Genus","sig"
"ASV_34",1205.94441102566,9.81989166469677,1.55478941608341,6.31589819374612,2.68596833240008e-10,2.63224896575208e-08,"Foregut","48h","Alphaproteobacteria","Rhodobacteraceae","Roseovarius","Enriched"
"ASV_228",44.1999988477356,8.42199878155112,1.67284714672251,5.03452978238432,4.79023202336825e-07,2.34721369145044e-05,"Foregut","48h","Firmicutes","Bacillaceae_1","Bacillus","Enriched"
"ASV_94",51.2761489814216,8.64186704956787,1.7575120119796,4.91710269441285,8.78344801079203e-07,2.8692596835254e-05,"Foregut","48h","Gammaproteobacteria","Moraxellaceae","Psychrobacter","Enriched"
"ASV_13",440.013772837805,8.58648397637752,1.80956072466606,4.74506539589163,2.08438983966241e-06,5.1067551071729e-05,"Foregut","48h","Gammaproteobacteria","Moraxellaceae","Acinetobacter","Enriched"
"ASV_550",28.7305656949375,8.28829471107625,1.84455962408947,4.49337316226229,7.01037828020378e-06,0.000137403414291994,"Foregut","48h","Firmicutes","Planococcaceae","Lysinibacillus","Enriched"
"ASV_26",22.1262109853873,5.27339900062914,1.27685399633832,4.12999373127379,3.62773125955002e-05,0.000547965268170692,"Foregut","48h","Gammaproteobacteria","Halomonadaceae","Halomonas","Enriched"
"ASV_41",20.3630957587765,6.15775582013533,1.49732799404597,4.11249628980509,3.91403762979065e-05,0.000547965268170692,"Foregut","48h","Firmicutes","Aerococcaceae","Aerococcus","Enriched"
"ASV_74",11.490353737083,6.47415674637414,1.60802745076818,4.02614815019565,5.66979741900397e-05,0.000694550183827986,"Foregut","48h","Firmicutes","Staphylococcaceae","Staphylococcus","Enriched"
"ASV_1095",9.97580444829556,6.76384141399802,1.69768201565986,3.98416272989088,6.77184581658166e-05,0.000737378766694447,"Foregut","48h","Firmicutes","Planococcaceae","Lysinibacillus","Enriched"
"ASV_71",53.1168077498645,8.14147338975068,2.07753741851202,3.91880950841394,8.89874071276485e-05,0.000872076589850955,"Foregut","48h","Gammaproteobacteria","Moraxellaceae","Acinetobacter","Enriched"
"ASV_54",12.2416852768104,6.56834693904864,1.7186224504695,3.82186729683082,0.000132444960856801,0.00117996419672423,"Foregut","48h","Alphaproteobacteria","Rhodobacteraceae","Donghicola","Enriched"
"ASV_24",19.6297886322453,5.9960605453628,1.69990752013168,3.52728632255144,0.000419842483518538,0.00334724197687426,"Foregut","48h","Alphaproteobacteria","Rhodobacteraceae","Unassigned","Enriched"
"ASV_44",13.9408649564033,4.54184020247654,1.29307480536681,3.5124342254802,0.000444021894891483,0.00334724197687426,"Foregut","48h","Alphaproteobacteria","Rhodobacteraceae","Ruegeria","Enriched"
"ASV_3",276.520679333181,4.02607449731902,1.22764367810286,3.27951389245184,0.0010398609025765,0.00727902631803548,"Foregut","48h","Firmicutes","Bacillales_Incertae_Sedis_XII","Exiguobacterium","Enriched"
"ASV_968",5.412909621357,5.88241093268859,1.87507563278944,3.13715928564315,0.00170593420239104,0.0111454367889548,"Foregut","48h","Firmicutes","Staphylococcaceae","Jeotgalicoccus","Enriched"
"ASV_1867",3.96413143353325,5.42875600348119,1.86090470941865,2.91726705618211,0.00353113296205592,0.0216281893925925,"Foregut","48h","Firmicutes","Planococcaceae","Lysinibacillus","Enriched"
"ASV_16",35.0274161916459,4.52413427482895,1.64961031671303,2.74254727252411,0.00609646740399609,0.0351443415053893,"Foregut","48h","Alphaproteobacteria","Rhodobacteraceae","Unassigned","Enriched"
"ASV_158",3.53611706451503,4.75472275343372,1.82062704782841,2.61158525525864,0.00901235137309337,0.0490672463646194,"Foregut","48h","Gammaproteobacteria","Halomonadaceae","Halomonas","Enriched"
