"ASV_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tissue","time","PC","Family","Genus","sig"
"ASV_375",170.291285038807,11.0281519067552,2.28670100480883,4.82273453484449,1.41603375764714e-06,0.000199660759828246,"Hindgut","48h","Gammaproteobacteria","Vibrionaceae","Vibrio","Enriched"
"ASV_297",104.799706950565,10.3274818601693,2.22900636807145,4.63322223215751,3.60017704291857e-06,0.000253812481525759,"Hindgut","48h","Gammaproteobacteria","Vibrionaceae","Vibrio","Enriched"
"ASV_94",40.3525097139799,7.98361962340979,1.93982837977976,4.11563193250952,3.86120055894293e-05,0.00181476426270318,"Hindgut","48h","Gammaproteobacteria","Moraxellaceae","Psychrobacter","Enriched"
"ASV_3",879.170706988411,6.02903368587424,1.49256175220465,4.03938642871479,5.35912094979917e-05,0.00188909013480421,"Hindgut","48h","Firmicutes","Bacillales_Incertae_Sedis_XII","Exiguobacterium","Enriched"
"ASV_24",38.4140680889666,5.84549247940395,1.49497815945406,3.91008553699447,9.22634433214718e-05,0.0026018291016655,"Hindgut","48h","Alphaproteobacteria","Rhodobacteraceae","Unassigned","Enriched"
"ASV_2020",58.099542225495,9.47606424998252,2.45130838335412,3.86571690217795,0.000110763359900027,0.00260293895765063,"Hindgut","48h","Gammaproteobacteria","Vibrionaceae","Vibrio","Enriched"
"ASV_2501",12.9451071361145,-6.51748434143413,1.72909708278616,-3.76929925237758,0.00016370651648431,0.00288532735303597,"Hindgut","48h","Betaproteobacteria","Unassigned","Unassigned","Depleted"
"ASV_30",18.088326754433,7.30601936665956,1.92492045811024,3.79549156739294,0.000147351203814469,0.00288532735303597,"Hindgut","48h","Unassigned","Unassigned","Unassigned","Enriched"
"ASV_34",66.6244008072432,6.31170805202434,1.68850545216015,3.73804422363552,0.000185457330311728,0.00290549817488373,"Hindgut","48h","Alphaproteobacteria","Rhodobacteraceae","Roseovarius","Enriched"
"ASV_17",78.7687860169083,6.65676560841813,1.81222671723602,3.67325210753482,0.000239482996644972,0.0033767102526941,"Hindgut","48h","Alphaproteobacteria","Rhodobacteraceae","Thalassococcus","Enriched"
"ASV_224",10.2688976473274,6.9702424699995,2.00870698750487,3.47001454834267,0.000520430174898307,0.00667096860551466,"Hindgut","48h","Gammaproteobacteria","Vibrionaceae","Vibrio","Enriched"
