"ASV_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tissue","time","PC","Family","Genus","sig"
"ASV_1",26121.4723792254,-8.31021220417324,0.969517025110865,-8.5714969298481,1.02148441324626e-17,1.43007817854476e-15,"Midgut","48h","Betaproteobacteria","Alcaligenaceae","Achromobacter","Depleted"
"ASV_6",1672.38033807581,8.10681484231809,1.05116189913604,7.71224190011182,1.23626519850086e-14,8.65385638950603e-13,"Midgut","48h","Gammaproteobacteria","Moraxellaceae","Acinetobacter","Enriched"
"ASV_39",294.792215243501,8.46157881694306,1.24219518767731,6.81179487803745,9.63884788836265e-12,4.49812901456924e-10,"Midgut","48h","Gammaproteobacteria","Moraxellaceae","Acinetobacter","Enriched"
"ASV_75",209.359373568037,-6.67983307086619,1.02256169176015,-6.53244994868534,6.4702423319644e-11,2.26458481618754e-09,"Midgut","48h","Gammaproteobacteria","Pseudomonadaceae","Pseudomonas","Depleted"
"ASV_132",86.7790478133686,-7.05443049071482,1.09329779198361,-6.45243276117455,1.10068724027901e-10,3.08192427278123e-09,"Midgut","48h","Gammaproteobacteria","Pseudomonadaceae","Pseudomonas","Depleted"
"ASV_4147",126.480496509308,8.51036049712646,1.42810749440669,5.95918761749942,2.53494932462778e-09,5.91488175746481e-08,"Midgut","48h","Gammaproteobacteria","Moraxellaceae","Acinetobacter","Enriched"
"ASV_177",54.9056835253311,-7.29266590336018,1.46841843247249,-4.96634048040445,6.82281251329049e-07,1.3645625026581e-05,"Midgut","48h","Alphaproteobacteria","Caulobacteraceae","Brevundimonas","Depleted"
"ASV_14",21.5720510417917,-6.41910324545332,1.43866712702573,-4.46184049448883,8.12587029598045e-06,0.000135636567652683,"Midgut","48h","Betaproteobacteria","Alcaligenaceae","Achromobacter","Depleted"
"ASV_32",109.040739341976,-5.59939530270546,1.25922171438654,-4.44671120163563,8.71949363481531e-06,0.000135636567652683,"Midgut","48h","Alphaproteobacteria","Caulobacteraceae","Brevundimonas","Depleted"
"ASV_34",192.640737893433,7.519223495985,1.74454372662719,4.31013759140465,1.63153002179491e-05,0.000228414203051287,"Midgut","48h","Alphaproteobacteria","Rhodobacteraceae","Roseovarius","Enriched"
"ASV_59",237.60272551654,3.78643601679546,0.92980792535856,4.07227763232423,4.6555639335764e-05,0.000592526318818814,"Midgut","48h","Gammaproteobacteria","Xanthomonadaceae","Stenotrophomonas","Enriched"
"ASV_12",1182.4811456761,3.5837689599237,0.91208888245278,3.92918829389332,8.52330813211423e-05,0.00099438594874666,"Midgut","48h","Betaproteobacteria","Burkholderiaceae","Cupriavidus","Enriched"
"ASV_13",84.9944280828554,6.1931893872915,1.60591473396537,3.85648705769024,0.000115028185306332,0.00117900253280493,"Midgut","48h","Gammaproteobacteria","Moraxellaceae","Acinetobacter","Enriched"
"ASV_4558",15.1319745455006,5.54518646955738,1.44013926667209,3.85045154860011,0.000117900253280493,0.00117900253280493,"Midgut","48h","Gammaproteobacteria","Pseudomonadaceae","Pseudomonas","Enriched"
"ASV_57",169.712267705994,3.51415042906608,0.920316600212222,3.81841469365621,0.000134312012557679,0.00125357878387167,"Midgut","48h","Gammaproteobacteria","Xanthomonadaceae","Stenotrophomonas","Enriched"
"ASV_94",15.8685321993591,5.91039091289471,1.5910453838975,3.7147846143875,0.000203376848466745,0.00177954742408402,"Midgut","48h","Gammaproteobacteria","Moraxellaceae","Psychrobacter","Enriched"
"ASV_550",18.027981032202,7.19346694979254,1.96919348090581,3.65300160677132,0.00025919260876259,0.00213452736628015,"Midgut","48h","Firmicutes","Planococcaceae","Lysinibacillus","Enriched"
"ASV_67",45.3149711158396,4.75613420617566,1.31346268024379,3.62106535474071,0.000293392382166958,0.00228194075018745,"Midgut","48h","Firmicutes","Bacillaceae_1","Bacillus","Enriched"
"ASV_244",9.47451106056688,-7.14161047817249,2.10212286871954,-3.39733256530464,0.000680462151635772,0.005013931643632,"Midgut","48h","Firmicutes","Staphylococcaceae","Staphylococcus","Depleted"
"ASV_24",32.9049237554858,3.54049949724527,1.13796228737142,3.11126259326526,0.0018628920000065,0.0130402440000455,"Midgut","48h","Alphaproteobacteria","Rhodobacteraceae","Unassigned","Enriched"
"ASV_154",31.7177041110159,3.10437905983597,1.04543545747105,2.96946027385143,0.00298323382679286,0.0198882255119524,"Midgut","48h","Betaproteobacteria","Comamonadaceae","Delftia","Enriched"
"ASV_228",7.47880076260957,5.40297202697332,1.83846732949835,2.93884582025594,0.00329436909763294,0.0209641669849369,"Midgut","48h","Firmicutes","Bacillaceae_1","Bacillus","Enriched"
"ASV_133",9.75594082276213,-6.69070181084039,2.36877884605153,-2.82453628881099,0.00473490862049526,0.0265154882747735,"Midgut","48h","Bacteroidetes","Flavobacteriaceae","Unassigned","Depleted"
"ASV_4743",3.18392273481879,-5.50700712843587,1.942566754009,-2.83491268295966,0.00458382122275433,0.0265154882747735,"Midgut","48h","Betaproteobacteria","Unassigned","Unassigned","Depleted"
"ASV_753",5.82682502075555,4.21873581452904,1.48819879716622,2.83479318929851,0.0045855359883493,0.0265154882747735,"Midgut","48h","Betaproteobacteria","Unassigned","Unassigned","Enriched"
"ASV_10",3.30668726085968,-5.09252852112446,1.82657738846396,-2.78801684138166,0.00530317868207662,0.0279862877015648,"Midgut","48h","Betaproteobacteria","Burkholderiaceae","Burkholderia","Depleted"
"ASV_3944",3.15524020634769,4.67652668068135,1.68080755146216,2.78230941823957,0.00539735548530179,0.0279862877015648,"Midgut","48h","Gammaproteobacteria","Moraxellaceae","Unassigned","Enriched"
"ASV_25",183.886962569973,-2.79740101564509,1.0265592191487,-2.72502644120707,0.00642963377261745,0.0310396113160843,"Midgut","48h","Betaproteobacteria","Burkholderiaceae","Ralstonia","Depleted"
"ASV_83",3.75986163952975,-5.33227080012986,1.95655773093853,-2.72533271868858,0.00642367181852993,0.0310396113160843,"Midgut","48h","Gammaproteobacteria","Vibrionaceae","Vibrio","Depleted"
"ASV_1095",5.6487195994349,5.51807350393504,2.10535218168633,2.62097408307013,0.00876789271864729,0.0409168326870207,"Midgut","48h","Firmicutes","Planococcaceae","Lysinibacillus","Enriched"
"ASV_106",5.49601399118292,4.28240002631454,1.68015517135114,2.54881221647566,0.0108090484964323,0.0448303105182712,"Midgut","48h","Alphaproteobacteria","Cohaesibacteraceae","Cohaesibacter","Enriched"
"ASV_233",34.860106521806,-3.94216622976753,1.5473522397739,-2.54768508968815,0.0108440310807562,0.0448303105182712,"Midgut","48h","Gammaproteobacteria","Pseudomonadaceae","Pseudomonas","Depleted"
"ASV_5061",3.05549841732832,-4.43613503365079,1.74219313823424,-2.546293482792,0.0108873611258659,0.0448303105182712,"Midgut","48h","Betaproteobacteria","Unassigned","Unassigned","Depleted"
"ASV_661",4.40754950727546,-5.53434390778216,2.16286057517625,-2.55880752153022,0.0105031877328869,0.0448303105182712,"Midgut","48h","Firmicutes","Staphylococcaceae","Staphylococcus","Depleted"
"ASV_4475",4.90702320267353,3.77917960019637,1.49767914281797,2.52335730140812,0.0116240227004686,0.0464960908018744,"Midgut","48h","Betaproteobacteria","Unassigned","Unassigned","Enriched"
"ASV_4886",4.66937885978396,4.74170479060714,1.89533326760181,2.50177890699237,0.0123571067175774,0.0480554150128009,"Midgut","48h","Gammaproteobacteria","Moraxellaceae","Acinetobacter","Enriched"
"ASV_3804",7.39026258903502,5.90578300098715,2.38124743090229,2.48012152132774,0.0131337612954157,0.0496953130096811,"Midgut","48h","Gammaproteobacteria","Moraxellaceae","Acinetobacter","Enriched"
"ASV_2",8067.95705581279,2.40925171191407,0.975573039603933,2.46957594573564,0.0135273301148678,0.0498375320021445,"Midgut","48h","Gammaproteobacteria","Pseudomonadaceae","Pseudomonas","Enriched"
