"interval","distance","subplot","tissue"
1,646681.350772423,"1","Foregut"
1,1250449.77742076,"1","Foregut"
1,1244128.53118913,"1","Foregut"
1,117587.118445143,"1","Foregut"
1,135172.011624241,"1","Foregut"
1,49738.965262924,"1","Foregut"
1,303508.324405197,"1","Foregut"
1,337658.958857529,"1","Foregut"
2,973044.961638364,"1","Foregut"
2,170127.947491348,"1","Foregut"
2,1302687.82391906,"1","Foregut"
2,48403.9750744001,"1","Foregut"
2,181256.129938878,"1","Foregut"
2,326812.800371066,"1","Foregut"
2,75325.0117051678,"1","Foregut"
3,546104.530934643,"1","Foregut"
3,263783.196464924,"1","Foregut"
3,1247511.74574177,"1","Foregut"
3,90059.198300926,"1","Foregut"
3,412750.52289966,"1","Foregut"
3,91746.9117553293,"1","Foregut"
4,546723.51983212,"1","Foregut"
4,134647.744433115,"1","Foregut"
4,1232135.97718719,"1","Foregut"
4,329412.867071691,"1","Foregut"
4,200229.446323787,"1","Foregut"
5,565517.943714688,"1","Foregut"
5,93306.0387069168,"1","Foregut"
5,1064101.7900364,"1","Foregut"
5,134210.506834098,"1","Foregut"
6,579078.216164251,"1","Foregut"
6,311087.517878315,"1","Foregut"
6,1236902.90365619,"1","Foregut"
7,541175.160280187,"1","Foregut"
7,116157.307609695,"1","Foregut"
8,581942.173794193,"1","Foregut"
1,1830854.99128549,"2","Foregut"
1,2064494.39995861,"2","Foregut"
1,241461.313450422,"2","Foregut"
1,250428.27515148,"2","Foregut"
1,303088.664276232,"2","Foregut"
1,201376.07360716,"2","Foregut"
1,2488972.93519896,"2","Foregut"
1,2711991.49361258,"2","Foregut"
2,564972.45791703,"2","Foregut"
2,1909994.57697633,"2","Foregut"
2,305841.288330036,"2","Foregut"
2,298033.814280145,"2","Foregut"
2,181828.434275705,"2","Foregut"
2,2616258.34211615,"2","Foregut"
2,270770.611696908,"2","Foregut"
3,515304.839907842,"2","Foregut"
3,1782145.34543058,"2","Foregut"
3,84450.3463959807,"2","Foregut"
3,156059.958950493,"2","Foregut"
3,2337065.65549647,"2","Foregut"
3,115887.116440746,"2","Foregut"
4,460364.571660102,"2","Foregut"
4,2062581.07245961,"2","Foregut"
4,186334.042081882,"2","Foregut"
4,2454117.8088842,"2","Foregut"
4,402629.390850755,"2","Foregut"
5,541479.550578766,"2","Foregut"
5,1923957.04262612,"2","Foregut"
5,2609208.59211954,"2","Foregut"
5,332827.705129933,"2","Foregut"
6,444948.037252649,"2","Foregut"
6,1089214.53932415,"2","Foregut"
6,110756.379363594,"2","Foregut"
7,2424406.70759122,"2","Foregut"
7,2159267.92418256,"2","Foregut"
8,605666.721614729,"2","Foregut"
1,632981.96650445,"3","Foregut"
1,116649.322094258,"3","Foregut"
1,1114208.21794316,"3","Foregut"
1,1424080.42171066,"3","Foregut"
1,1660204.7436715,"3","Foregut"
1,4507098.83262833,"3","Foregut"
1,3472808.93926105,"3","Foregut"
1,1460453.5980838,"3","Foregut"
2,569405.881300838,"3","Foregut"
2,1194853.35893262,"3","Foregut"
2,1209042.26017824,"3","Foregut"
2,980437.350740795,"3","Foregut"
2,3187097.74233557,"3","Foregut"
2,1125616.3581096,"3","Foregut"
2,2456637.8170611,"3","Foregut"
3,982325.276229164,"3","Foregut"
3,1255178.21093657,"3","Foregut"
3,1676787.33000796,"3","Foregut"
3,3971788.01470861,"3","Foregut"
3,1159938.94498591,"3","Foregut"
3,2258947.59419675,"3","Foregut"
4,678524.791792675,"3","Foregut"
4,1726238.67611544,"3","Foregut"
4,2963048.15616594,"3","Foregut"
4,741070.545613166,"3","Foregut"
4,746617.583238346,"3","Foregut"
5,1418683.70458716,"3","Foregut"
5,2924717.19537035,"3","Foregut"
5,559555.959132057,"3","Foregut"
5,1908700.25956434,"3","Foregut"
6,3151754.69138482,"3","Foregut"
6,606921.411145585,"3","Foregut"
6,1217460.1579146,"3","Foregut"
7,543828.53965563,"3","Foregut"
7,1224546.68221122,"3","Foregut"
8,965221.570809009,"3","Foregut"
1,554829.262709273,"4","Foregut"
1,50600.5751474321,"4","Foregut"
1,66725.7933696224,"4","Foregut"
1,175686.044493368,"4","Foregut"
1,391807.225107863,"4","Foregut"
1,176462.622259079,"4","Foregut"
1,239026.568210086,"4","Foregut"
1,1124353.918619,"4","Foregut"
2,567156.710955327,"4","Foregut"
2,102405.484501679,"4","Foregut"
2,212639.594741442,"4","Foregut"
2,289962.594296579,"4","Foregut"
2,533733.187265573,"4","Foregut"
2,160404.066572674,"4","Foregut"
2,1338849.07012628,"4","Foregut"
3,572261.325724907,"4","Foregut"
3,236335.516814839,"4","Foregut"
3,284446.600788044,"4","Foregut"
3,411270.86765406,"4","Foregut"
3,316795.153787476,"4","Foregut"
3,1186905.82377368,"4","Foregut"
4,470357.288890583,"4","Foregut"
4,252327.859702428,"4","Foregut"
4,412275.148108417,"4","Foregut"
4,175637.986763496,"4","Foregut"
4,886730.859775869,"4","Foregut"
5,605134.329882789,"4","Foregut"
5,388064.35070683,"4","Foregut"
5,188481.647422094,"4","Foregut"
5,960960.752687291,"4","Foregut"
6,767015.467110309,"4","Foregut"
6,179687.42344255,"4","Foregut"
6,946140.316002426,"4","Foregut"
7,647487.601632169,"4","Foregut"
7,964538.128147719,"4","Foregut"
8,904619.251737793,"4","Foregut"
1,538219.20821637,"5","Foregut"
1,303088.144603868,"5","Foregut"
1,1389228.83136267,"5","Foregut"
1,1400673.01936525,"5","Foregut"
1,716133.070053696,"5","Foregut"
1,819775.014751004,"5","Foregut"
1,623964.200816956,"5","Foregut"
1,411791.419238912,"5","Foregut"
2,642311.151385723,"5","Foregut"
2,1635834.39842626,"5","Foregut"
2,99878.3889686083,"5","Foregut"
2,1119584.59479203,"5","Foregut"
2,127278.862279378,"5","Foregut"
2,471165.441006872,"5","Foregut"
2,247393.017060928,"5","Foregut"
3,1683111.11837248,"5","Foregut"
3,265985.986858603,"5","Foregut"
3,779804.182184642,"5","Foregut"
3,1483126.73540257,"5","Foregut"
3,529388.043774689,"5","Foregut"
3,666425.526025599,"5","Foregut"
4,556618.05859418,"5","Foregut"
4,885513.189745644,"5","Foregut"
4,109180.152558198,"5","Foregut"
4,912069.846869925,"5","Foregut"
4,149322.077742053,"5","Foregut"
5,674795.868785762,"5","Foregut"
5,253939.229044829,"5","Foregut"
5,545280.16381225,"5","Foregut"
5,1267665.8528249,"5","Foregut"
6,601426.392907787,"5","Foregut"
6,757786.789004519,"5","Foregut"
6,155764.207050457,"5","Foregut"
7,824698.53613338,"5","Foregut"
7,374060.99510542,"5","Foregut"
8,638549.1459949,"5","Foregut"
1,579491.340591564,"6","Foregut"
1,131970.96827371,"6","Foregut"
1,278096.08131196,"6","Foregut"
1,706232.847521058,"6","Foregut"
1,315452.407642707,"6","Foregut"
1,257416.626703968,"6","Foregut"
1,121592.177430467,"6","Foregut"
1,695409.763696944,"6","Foregut"
2,663798.680147352,"6","Foregut"
2,194479.801853628,"6","Foregut"
2,669491.939650781,"6","Foregut"
2,437276.648543699,"6","Foregut"
2,541553.434655916,"6","Foregut"
2,349742.873061683,"6","Foregut"
2,691826.96588216,"6","Foregut"
3,540200.290079646,"6","Foregut"
3,686553.997379812,"6","Foregut"
3,442630.321947131,"6","Foregut"
3,232020.123023987,"6","Foregut"
3,618718.582608915,"6","Foregut"
3,740737.253634444,"6","Foregut"
4,556353.69110849,"6","Foregut"
4,423006.346727064,"6","Foregut"
4,235888.363083241,"6","Foregut"
4,212365.428158638,"6","Foregut"
4,915512.40421984,"6","Foregut"
5,411078.808511664,"6","Foregut"
5,174638.306622649,"6","Foregut"
5,209808.471190784,"6","Foregut"
5,725834.10102924,"6","Foregut"
6,458029.558957361,"6","Foregut"
6,122255.943667848,"6","Foregut"
6,836206.785981221,"6","Foregut"
7,498506.869205628,"6","Foregut"
7,742112.008457318,"6","Foregut"
8,571262.471834819,"6","Foregut"
1,338718.454488132,"1","Foregut"
1,1250449.77742076,"1","Foregut"
1,1244128.53118913,"1","Foregut"
1,117587.118445143,"1","Foregut"
1,135172.011624241,"1","Foregut"
1,49738.965262924,"1","Foregut"
1,303508.324405197,"1","Foregut"
1,337658.958857529,"1","Foregut"
2,1235308.36576874,"1","Foregut"
2,170127.947491348,"1","Foregut"
2,1302687.82391906,"1","Foregut"
2,48403.9750744001,"1","Foregut"
2,181256.129938878,"1","Foregut"
2,326812.800371066,"1","Foregut"
2,75325.0117051678,"1","Foregut"
3,174347.018734433,"1","Foregut"
3,263783.196464924,"1","Foregut"
3,1247511.74574177,"1","Foregut"
3,90059.198300926,"1","Foregut"
3,412750.52289966,"1","Foregut"
3,91746.9117553293,"1","Foregut"
4,124989.277051896,"1","Foregut"
