"pairs","R","p.value","p.adjusted"
"CK_qc vs 0h_qc",0.190740740740741,0.023,0.232615384615385
"CK_qc vs 3h_qc",0.198148148148148,0.021,0.232615384615385
"CK_qc vs 6h_qc",0.25,0.016,0.232615384615385
"CK_qc vs 9h_qc",-0.00555555555555567,0.468,0.543375
"CK_qc vs 12h_qc",0.0759259259259258,0.125,0.28125
"CK_qc vs 24h_qc",0.112962962962963,0.052,0.232615384615385
"CK_qc vs 48h_qc",0.101851851851852,0.066,0.232615384615385
"CK_qc vs 72h_qc",0.0768518518518519,0.154,0.297473684210526
"0h_qc vs 3h_qc",-0.0351851851851852,0.63,0.648
"0h_qc vs 6h_qc",-0.00740740740740749,0.463,0.543375
"0h_qc vs 9h_qc",0.0694444444444446,0.157,0.297473684210526
"0h_qc vs 12h_qc",0.0324074074074076,0.246,0.381
"0h_qc vs 24h_qc",0.0796296296296295,0.152,0.297473684210526
"0h_qc vs 48h_qc",0.0953703703703704,0.079,0.232615384615385
"0h_qc vs 72h_qc",0.0296296296296295,0.254,0.381
"3h_qc vs 6h_qc",0.0277777777777779,0.316,0.406285714285714
"3h_qc vs 9h_qc",0.116666666666667,0.078,0.232615384615385
"3h_qc vs 12h_qc",0.0462962962962961,0.202,0.330545454545455
"3h_qc vs 24h_qc",0.118518518518519,0.06,0.232615384615385
"3h_qc vs 48h_qc",0.131481481481481,0.047,0.232615384615385
"3h_qc vs 72h_qc",0.109259259259259,0.058,0.232615384615385
"6h_qc vs 9h_qc",0.109259259259259,0.078,0.232615384615385
"6h_qc vs 12h_qc",-0.0129629629629629,0.483,0.543375
"6h_qc vs 24h_qc",0.103703703703704,0.073,0.232615384615385
"6h_qc vs 48h_qc",0.0972222222222221,0.084,0.232615384615385
"6h_qc vs 72h_qc",-0.0481481481481481,0.719,0.719
"9h_qc vs 12h_qc",-0.0185185185185186,0.532,0.580363636363636
"9h_qc vs 24h_qc",-0.0277777777777779,0.575,0.608823529411765
"9h_qc vs 48h_qc",0.0314814814814816,0.265,0.3816
"9h_qc vs 72h_qc",0.0722222222222222,0.198,0.330545454545455
"12h_qc vs 24h_qc",0.0425925925925925,0.2,0.330545454545455
"12h_qc vs 48h_qc",0.105555555555555,0.091,0.234
"12h_qc vs 72h_qc",0.0185185185185186,0.295,0.406285714285714
"24h_qc vs 48h_qc",0.00555555555555567,0.381,0.472965517241379
"24h_qc vs 72h_qc",0.0907407407407408,0.115,0.276
"48h_qc vs 72h_qc",0.0166666666666666,0.316,0.406285714285714
