"pairs","R","p.value","p.adjusted"
"CK_hc vs 0h_hc",0.957407407407407,0.003,0.0110769230769231
"CK_hc vs 3h_hc",0.914814814814815,0.004,0.0110769230769231
"CK_hc vs 6h_hc",0.909259259259259,0.003,0.0110769230769231
"CK_hc vs 9h_hc",0.635185185185185,0.006,0.0113684210526316
"CK_hc vs 12h_hc",0.828703703703704,0.003,0.0110769230769231
"CK_hc vs 24h_hc",0.492592592592592,0.004,0.0110769230769231
"CK_hc vs 48h_hc",0.627777777777778,0.004,0.0110769230769231
"CK_hc vs 72h_hc",0.853703703703704,0.003,0.0110769230769231
"0h_hc vs 3h_hc",0.174074074074074,0.015,0.02
"0h_hc vs 6h_hc",0.12037037037037,0.097,0.109125
"0h_hc vs 9h_hc",0.542592592592593,0.004,0.0110769230769231
"0h_hc vs 12h_hc",0.622222222222222,0.004,0.0110769230769231
"0h_hc vs 24h_hc",0.47962962962963,0.004,0.0110769230769231
"0h_hc vs 48h_hc",0.385185185185185,0.004,0.0110769230769231
"0h_hc vs 72h_hc",0.618518518518519,0.003,0.0110769230769231
"3h_hc vs 6h_hc",-0.0296296296296295,0.604,0.604
"3h_hc vs 9h_hc",0.284259259259259,0.007,0.0126
"3h_hc vs 12h_hc",0.518518518518518,0.006,0.0113684210526316
"3h_hc vs 24h_hc",0.383333333333333,0.004,0.0110769230769231
"3h_hc vs 48h_hc",0.198148148148148,0.016,0.0205714285714286
"3h_hc vs 72h_hc",0.305555555555556,0.008,0.0137142857142857
"6h_hc vs 9h_hc",0.235185185185185,0.009,0.0140869565217391
"6h_hc vs 12h_hc",0.562962962962963,0.005,0.01125
"6h_hc vs 24h_hc",0.401851851851852,0.006,0.0113684210526316
"6h_hc vs 48h_hc",0.164814814814815,0.03,0.0372413793103448
"6h_hc vs 72h_hc",0.253703703703704,0.01,0.015
"9h_hc vs 12h_hc",0.316666666666667,0.005,0.01125
"9h_hc vs 24h_hc",0.22962962962963,0.013,0.018
"9h_hc vs 48h_hc",0.0481481481481481,0.2,0.218181818181818
"9h_hc vs 72h_hc",0.0129629629629629,0.383,0.393942857142857
"12h_hc vs 24h_hc",0.101851851851852,0.079,0.091741935483871
"12h_hc vs 48h_hc",0.238888888888889,0.012,0.01728
"12h_hc vs 72h_hc",0.354629629629629,0.005,0.01125
"24h_hc vs 48h_hc",0.175925925925926,0.071,0.0852
"24h_hc vs 72h_hc",0.244444444444444,0.009,0.0140869565217391
"48h_hc vs 72h_hc",0.0259259259259259,0.276,0.292235294117647
