"pairs","R","p.value","p.adjusted"
"CK_mc vs 0h_mc",0.507407407407408,0.004,0.009
"CK_mc vs 3h_mc",0.494444444444444,0.004,0.009
"CK_mc vs 6h_mc",0.424074074074074,0.002,0.009
"CK_mc vs 9h_mc",0.259259259259259,0.019,0.0342
"CK_mc vs 12h_mc",0.446296296296296,0.003,0.009
"CK_mc vs 24h_mc",0.167592592592592,0.018,0.0341052631578947
"CK_mc vs 48h_mc",1,0.004,0.009
"CK_mc vs 72h_mc",1,0.004,0.009
"0h_mc vs 3h_mc",0.0129629629629629,0.475,0.589655172413793
"0h_mc vs 6h_mc",0.0203703703703704,0.297,0.396
"0h_mc vs 9h_mc",0.0574074074074074,0.17,0.2448
"0h_mc vs 12h_mc",0.0740740740740742,0.199,0.275538461538462
"0h_mc vs 24h_mc",0.162962962962963,0.021,0.036
"0h_mc vs 48h_mc",1,0.003,0.009
"0h_mc vs 72h_mc",1,0.003,0.009
"3h_mc vs 6h_mc",-0.0481481481481481,0.714,0.778909090909091
"3h_mc vs 9h_mc",-0.0148148148148148,0.498,0.5976
"3h_mc vs 12h_mc",-0.0981481481481481,0.957,0.957
"3h_mc vs 24h_mc",0.109259259259259,0.056,0.0916363636363636
"3h_mc vs 48h_mc",1,0.003,0.009
"3h_mc vs 72h_mc",1,0.006,0.0127058823529412
"6h_mc vs 9h_mc",-0.0296296296296295,0.58,0.657
"6h_mc vs 12h_mc",-0.0574074074074074,0.857,0.907411764705882
"6h_mc vs 24h_mc",0.0722222222222222,0.125,0.1935
"6h_mc vs 48h_mc",1,0.003,0.009
"6h_mc vs 72h_mc",1,0.003,0.009
"9h_mc vs 12h_mc",-0.0648148148148147,0.89,0.915428571428571
"9h_mc vs 24h_mc",-0.00555555555555567,0.454,0.583714285714286
"9h_mc vs 48h_mc",0.714814814814815,0.002,0.009
"9h_mc vs 72h_mc",0.72037037037037,0.001,0.009
"12h_mc vs 24h_mc",0.0685185185185184,0.129,0.1935
"12h_mc vs 48h_mc",1,0.004,0.009
"12h_mc vs 72h_mc",1,0.003,0.009
"24h_mc vs 48h_mc",0.790740740740741,0.008,0.016
"24h_mc vs 72h_mc",0.794444444444445,0.002,0.009
"48h_mc vs 72h_mc",-0.0277777777777779,0.584,0.657
