"pairs","R","p.value","p.adjusted"
"CK vs 0h",0.988888888888889,0.001,0.00771428571428572
"CK vs 3h",0.814814814814815,0.005,0.009
"CK vs 6h",0.892592592592592,0.001,0.00771428571428572
"CK vs 9h",0.627777777777778,0.006,0.00981818181818182
"CK vs 12h",0.894444444444445,0.002,0.00771428571428572
"CK vs 24h",0.485185185185185,0.003,0.00771428571428572
"CK vs 48h",0.881481481481481,0.004,0.008
"CK vs 72h",0.868518518518519,0.001,0.00771428571428572
"0h vs 3h",-0.0481481481481481,0.707,0.719
"0h vs 6h",-0.0111111111111111,0.484,0.512470588235294
"0h vs 9h",0.37037037037037,0.004,0.008
"0h vs 12h",0.324074074074074,0.003,0.00771428571428572
"0h vs 24h",0.372222222222222,0.002,0.00771428571428572
"0h vs 48h",0.582407407407407,0.003,0.00771428571428572
"0h vs 72h",0.67962962962963,0.001,0.00771428571428572
"3h vs 6h",0.022222222222222,0.318,0.346909090909091
"3h vs 9h",0.312962962962963,0.006,0.00981818181818182
"3h vs 12h",0.124074074074074,0.047,0.0545806451612903
"3h vs 24h",0.177777777777778,0.012,0.016
"3h vs 48h",0.411111111111111,0.002,0.00771428571428572
"3h vs 72h",0.503703703703704,0.002,0.00771428571428572
"6h vs 9h",0.287037037037037,0.01,0.0138461538461538
"6h vs 12h",0.244444444444444,0.008,0.012
"6h vs 24h",0.190740740740741,0.017,0.0218571428571429
"6h vs 48h",0.447222222222222,0.005,0.009
"6h vs 72h",0.451851851851852,0.004,0.008
"9h vs 12h",0.107407407407407,0.067,0.075375
"9h vs 24h",0.12962962962963,0.038,0.0456
"9h vs 48h",0.312962962962963,0.008,0.012
"9h vs 72h",0.411111111111111,0.003,0.00771428571428572
"12h vs 24h",0.148148148148148,0.036,0.0446896551724138
"12h vs 48h",0.796296296296296,0.004,0.008
"12h vs 72h",0.807407407407408,0.002,0.00771428571428572
"24h vs 48h",0.322222222222222,0.01,0.0138461538461538
"24h vs 72h",0.340740740740741,0.003,0.00771428571428572
"48h vs 72h",-0.0370370370370372,0.719,0.719
