"pairs","R","p.value","p.adjusted"
"pCK vs p0h",1,0.001,0.001
"pCK vs p3h",1,0.001,0.001
"pCK vs p6h",1,0.001,0.001
"pCK vs p9h",1,0.001,0.001
"pCK vs p12h",1,0.001,0.001
"pCK vs p24h",1,0.001,0.001
"p0h vs p3h",1,0.001,0.001
"p0h vs p6h",1,0.001,0.001
"p0h vs p9h",1,0.001,0.001
"p0h vs p12h",1,0.001,0.001
"p0h vs p24h",1,0.001,0.001
"p3h vs p6h",0.428292410714286,0.001,0.001
"p3h vs p9h",1,0.001,0.001
"p3h vs p12h",1,0.001,0.001
"p3h vs p24h",1,0.001,0.001
"p6h vs p9h",1,0.001,0.001
"p6h vs p12h",1,0.001,0.001
"p6h vs p24h",1,0.001,0.001
"p9h vs p12h",1,0.001,0.001
"p9h vs p24h",1,0.001,0.001
"p12h vs p24h",1,0.001,0.001
