"","ASV_1","ASV_2","ASV_3","ASV_4","ASV_5","ASV_6","ASV_7","ASV_11","ASV_12","ASV_13","ASV_16","ASV_17","ASV_18","ASV_21","ASV_22","ASV_24","ASV_25","ASV_26","ASV_27","ASV_28","ASV_29","ASV_30","ASV_31","ASV_32","ASV_34","ASV_37","ASV_38","ASV_39","ASV_40","ASV_41","ASV_42","ASV_44","ASV_48","ASV_49","ASV_52","ASV_54","ASV_56","ASV_57","ASV_59","ASV_61","ASV_62","ASV_64","ASV_67","ASV_69","ASV_71","ASV_74","ASV_78","ASV_79","ASV_82","ASV_83","ASV_84","ASV_89","ASV_90","ASV_92","ASV_94","ASV_96","ASV_98","ASV_99","ASV_103","ASV_104","ASV_106","ASV_108","ASV_115","ASV_119","ASV_123","ASV_125","ASV_127","ASV_133","ASV_134","ASV_136","ASV_140","ASV_144","ASV_145","ASV_150","ASV_151","ASV_154","ASV_156","ASV_158","ASV_159","ASV_163","ASV_167","ASV_168","ASV_171","ASV_173","ASV_182","ASV_189","ASV_191","ASV_193","ASV_200","ASV_202","ASV_203","ASV_208","ASV_211","ASV_212","ASV_213","ASV_216","ASV_219","ASV_222","ASV_224","ASV_225","ASV_228","ASV_234","ASV_235","ASV_241","ASV_244","ASV_255","ASV_258","ASV_261","ASV_263","ASV_265","ASV_269","ASV_277","ASV_280","ASV_282","ASV_295","ASV_297","ASV_298","ASV_304","ASV_305","ASV_309","ASV_310","ASV_317","ASV_328","ASV_337","ASV_340","ASV_341","ASV_343","ASV_346","ASV_350","ASV_363","ASV_375","ASV_379","ASV_382","ASV_383","ASV_385","ASV_404","ASV_406","ASV_407","ASV_410","ASV_419","ASV_429","ASV_431","ASV_432","ASV_445","ASV_447","ASV_449","ASV_451","ASV_453","ASV_464","ASV_466","ASV_472","ASV_474","ASV_475","ASV_479","ASV_481","ASV_485","ASV_486","ASV_496","ASV_502","ASV_509","ASV_526","ASV_540","ASV_541","ASV_547","ASV_550","ASV_564","ASV_572","ASV_583","ASV_588","ASV_590","ASV_594","ASV_600","ASV_608","ASV_617","ASV_629","ASV_637","ASV_638","ASV_658","ASV_693","ASV_709","ASV_715","ASV_731","ASV_737","ASV_738","ASV_749","ASV_753","ASV_764","ASV_765","ASV_776","ASV_797","ASV_801","ASV_811","ASV_833","ASV_834","ASV_840","ASV_842","ASV_863","ASV_882","ASV_901","ASV_911","ASV_916","ASV_942","ASV_952","ASV_982","ASV_996","ASV_997","ASV_1014","ASV_1017","ASV_1025","ASV_1047","ASV_1061","ASV_1077","ASV_1079","ASV_1095","ASV_1127","ASV_1140","ASV_1141","ASV_1213","ASV_1216","ASV_1242","ASV_1263","ASV_1265","ASV_1290","ASV_1326","ASV_1331","ASV_1333","ASV_1334","ASV_1338","ASV_1350","ASV_1371","ASV_1398","ASV_1428","ASV_1432","ASV_1459","ASV_1515","ASV_1525","ASV_1536","ASV_1586","ASV_1613","ASV_1622","ASV_1635","ASV_1692","ASV_1696","ASV_1716","ASV_1726","ASV_1735","ASV_1739","ASV_1740","ASV_1741","ASV_1751","ASV_1775","ASV_1816","ASV_1817","ASV_1822","ASV_1919","ASV_1966","ASV_2020","ASV_2057","ASV_2135","ASV_2203","ASV_2256","ASV_2258","ASV_2292","ASV_2311","ASV_2323","ASV_2333","ASV_2362","ASV_2363","ASV_2378","ASV_2388","ASV_2453","ASV_2488","ASV_2499","ASV_2501","ASV_2504","ASV_2557","ASV_2561","ASV_2577","ASV_2616","ASV_2627","ASV_2671","ASV_2676","ASV_2685","ASV_2802","ASV_2840","ASV_2993","ASV_3143","ASV_3263","ASV_3296","ASV_3380","ASV_3486","ASV_3553","ASV_3621","ASV_3727","ASV_3750","ASV_3804","ASV_3943","ASV_4005","ASV_4012","ASV_4051","ASV_4062","ASV_4099","ASV_4113","ASV_4117","ASV_4132","ASV_4147","ASV_4222","ASV_4247","ASV_4254","ASV_4343","ASV_4406","ASV_4408","ASV_4472","ASV_4475","ASV_4539","ASV_4558","ASV_4608","ASV_4612","ASV_4618","ASV_4626","ASV_4659","ASV_4679","ASV_4696","ASV_4738","ASV_4802","ASV_4832","ASV_4886","ASV_4926","ASV_4930","ASV_4952","ASV_4954","ASV_4968","ASV_5084","ASV_5247","ASV_5320","ASV_5403","ASV_5455","ASV_5486","ASV_5487","ASV_5503","ASV_5539","ASV_5559","ASV_5613","ASV_5629","ASV_5632","ASV_5692","ASV_5757"
"ASV_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949478934663503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2",0,0,0,0,0,0,0,0,0.819769534368308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812814374390194,0.802531723626154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770003768723996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907250067882136,0,0.904801410501884,0,0,0,0,0,0
"ASV_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960764793965096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972450284026134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888938052073874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961746844862827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841777734286772,0,0,0,0,0,0,0,0.883106958361308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800358854873894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770815487362036,0,0,0,0,0,0.878663333007607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85279305199257,0,0,0,0,0,0,0,0.897147655668854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820574589947017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881519632185839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880433965371118,0,0,0,0,0,0,0,0,0,0,0,0,0.896498665379104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758230621523503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997073188942585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814115986525497,0,0,0,0,0,0,0,0,0,0.80362328063808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842534653282997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90511793784641,0,0,0,0.953909071792307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988977921631646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987603681998338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806482929574388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863914111067448,0,0.914009876716824,0,0,0,0,0.826326689758598,0,0.785736390716316,0,0,0,0.790510287801105,0,0,0,0.877280800873604,0,0.986761742677436,0,0,0,0.965530538992716,0,0,0.875805231052494,0.909131267684161,0.937201916109677,0,0,0,0,0,0,0,0,0.9456755413643,0,0,0,0.86279145551686,0,0.97652257111571,0,0,0.881448070531169,0,0.986012126757824,0,0,0,0,0,0,0.825447579445528
"ASV_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755944895768945,0,0,0,0,0,0,0,0.918580332483431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960489505903571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786698421315996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788988996617577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957909563740818,0,0,0,0,0,0,0,0,0.977743525741947,0,0,0,0,0,0.948147558576756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12",0,0.819769534368308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865776234107556,0,0,0,0,0,0.808108489090536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91574723918485,0.903184951052048,0,0,0,0,0.873997426090107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926914814143712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840536495448545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781530103257328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991530055182604,0,0,0,0,0.999131984658185,0,0,0,0,0,0,0,0,0,0,0.998048742691992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998053472961365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997991619710421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991885379100164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997889104335297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991535643404998,0,0,0.996143082557216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99757394609466,0,0,0,0.997772559918863,0,0,0,0,0,0,0,0,0.997833168263139,0,0.956283665068679,0,0,0,0,0,0.970315007762714,0,0,0,0,0,0,0,0,0.997076239094332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997351094326226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934272152195665,0
