"","ASV_1","ASV_2","ASV_4","ASV_5","ASV_7","ASV_10","ASV_12","ASV_13","ASV_15","ASV_19","ASV_22","ASV_26","ASV_37","ASV_38","ASV_40","ASV_41","ASV_44","ASV_47","ASV_49","ASV_53","ASV_60","ASV_67","ASV_78","ASV_79","ASV_82","ASV_84","ASV_88","ASV_89","ASV_90","ASV_91","ASV_100","ASV_105","ASV_108","ASV_109","ASV_110","ASV_114","ASV_115","ASV_119","ASV_123","ASV_131","ASV_151","ASV_158","ASV_161","ASV_163","ASV_184","ASV_205","ASV_217","ASV_218","ASV_222","ASV_223","ASV_237","ASV_240","ASV_243","ASV_246","ASV_252","ASV_261","ASV_267","ASV_271","ASV_272","ASV_274","ASV_279","ASV_284","ASV_285","ASV_286","ASV_287","ASV_288","ASV_296","ASV_297","ASV_299","ASV_314","ASV_316","ASV_318","ASV_324","ASV_339","ASV_345","ASV_346","ASV_356","ASV_358","ASV_363","ASV_366","ASV_370","ASV_371","ASV_378","ASV_381","ASV_386","ASV_390","ASV_400","ASV_412","ASV_428","ASV_432","ASV_433","ASV_440","ASV_451","ASV_454","ASV_457","ASV_473","ASV_486","ASV_488","ASV_495","ASV_499","ASV_504","ASV_517","ASV_532","ASV_534","ASV_546","ASV_553","ASV_573","ASV_586","ASV_592","ASV_597","ASV_608","ASV_610","ASV_613","ASV_615","ASV_617","ASV_621","ASV_629","ASV_642","ASV_651","ASV_656","ASV_659","ASV_663","ASV_670","ASV_672","ASV_675","ASV_678","ASV_684","ASV_704","ASV_718","ASV_727","ASV_739","ASV_743","ASV_746","ASV_748","ASV_752","ASV_756","ASV_759","ASV_761","ASV_772","ASV_778","ASV_791","ASV_792","ASV_799","ASV_804","ASV_806","ASV_813","ASV_824","ASV_825","ASV_827","ASV_832","ASV_838","ASV_862","ASV_867","ASV_878","ASV_879","ASV_880","ASV_884","ASV_893","ASV_894","ASV_897","ASV_907","ASV_913","ASV_923","ASV_953","ASV_961","ASV_965","ASV_968","ASV_976","ASV_978","ASV_983","ASV_989","ASV_995","ASV_996","ASV_997","ASV_1005","ASV_1007","ASV_1010","ASV_1011","ASV_1019","ASV_1066","ASV_1071","ASV_1093","ASV_1097","ASV_1113","ASV_1114","ASV_1115","ASV_1117","ASV_1121","ASV_1133","ASV_1136","ASV_1154","ASV_1159","ASV_1165","ASV_1174","ASV_1180","ASV_1184","ASV_1187","ASV_1193","ASV_1194","ASV_1196","ASV_1205","ASV_1226","ASV_1264","ASV_1271","ASV_1279","ASV_1280","ASV_1284","ASV_1292","ASV_1304","ASV_1324","ASV_1342","ASV_1349","ASV_1359","ASV_1426","ASV_1462","ASV_1489","ASV_1501","ASV_1514","ASV_1523","ASV_1528","ASV_1565","ASV_1573","ASV_1576","ASV_1578","ASV_1590","ASV_1643","ASV_1652","ASV_1656","ASV_1693","ASV_1696","ASV_1697","ASV_1719","ASV_1763","ASV_1842","ASV_1993","ASV_2001","ASV_2044","ASV_2203","ASV_2216","ASV_2263","ASV_2349","ASV_2430","ASV_2465","ASV_2701","ASV_2757","ASV_2819","ASV_2921","ASV_2958","ASV_2960","ASV_3016","ASV_3587","ASV_3596","ASV_3623","ASV_3668","ASV_3862","ASV_3914","ASV_4037","ASV_4290","ASV_4351","ASV_4450","ASV_4541","ASV_4574","ASV_4641","ASV_4659","ASV_4690","ASV_4717","ASV_4800","ASV_4933","ASV_4994","ASV_5005","ASV_5088","ASV_5500"
"ASV_1",0,0,0,0,0.767079660514935,0.920295592752026,0.887127795968185,0,0,0,0,0.92508381551072,0,0,0.864836736179837,0,0,0,0,0,0,0,0,0,0,0,0.859924395397614,0,0,0.941156588164082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881184423686996,0.886841565146725,0.819398921614672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781797231883956,0,0,0,0,0.876526381735352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873717239093567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755248015455615,0.886359266544848,0,0,0,0,0,0.861093363695711,0,0,0,0,0,0.844259021008172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873761287414905,0,0,0,0,0,0,0,0,0,0,0,0,0.867903184988839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76509530225284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77391718442777,0,0,0,0,0.838410216590333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921145386173651,0,0,0
"ASV_2",0,0,-0.776297338088839,0,0,0,0,0,0,0,0,0,0,0,0,0.859989665235751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830215570980619,0,0,0,0,0,0,0,0,0
"ASV_4",0,-0.776297338088839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_5",0,0,0,0,0,0,0,0.928918611178047,0,0.951750004161605,0.839898534906157,0,0.870206421365806,0,0,0,0.898243467617667,0,0.935679903124791,0.833230159850181,0.943049173522342,0,0,0,0,0,0,0,0,0,0,0,0,0.913647980613007,0,0,0.956399284350379,0,0,0,0,0.915606575165969,0,0.890859451216114,0,0,0,0,0,0,0,0,0,0.958454715242803,0,0,0.873745180558692,0.950844425324935,0,0,0,0,0.811170240183016,0,0,0,0,0,0,0,0,0,0,0,0.916010132317395,0.903147817876456,0.884372695504672,0,0,0,0,0,0,0.957742370945139,0,0,0,0,0,0.893036694933373,0,0,0,0,0,0.902621492674604,0.908407871396109,0,0,0.892198572749908,0,0.891655974640143,0,0,0,0.841896075640873,0.86230635782594,0.862816824441366,0,0,0,0,0,0,0,0,0.940951772710587,0,0.88992489476058,0,0,0,0,0,0,0,0,0,0.892654552914707,0,0,0,0.901466836143633,0,0.882043255109026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797673387933837,0,0,0,0.851450514851896,0.884057441455938,0,0,0,0,0.80616829332973,0,0,0,0,0.932904523783645,0,0,0,0,0,0,0.81563012972721,0,0,0,0,0,0,0,0.8592414983621,0.780422490607582,0,0,0.92854922349758,0,0,0,0,0,0,0,0,0,0.85649426009673,0,0.814647972105828,0,0,0,0,0,0,0,0,0.908654220433559,0,0,0.849179648961395,0,0,0,0,0,0.916328794340779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862038252301582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881465229606273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_7",0.767079660514935,0,0,0,0,0.868901816221378,0.77617329711364,0,0,0,0,0,0,0,0.853181683983323,0,0,0,0,0,0,0,0,0,0,0,0.829548357974209,0,0,0.796531691698856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856490259415946,0.874574223168625,0.809511658003214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754883574616927,0,0,0,0,0.849605932162972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876540593540239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865125967954695,0,0,0,0,0,0.862011680541042,0,0,0,0,0,0.824530024184495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861797033550152,0,0,0,0,0,0,0,0,0,0,0,0,0.855412019892051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751618068772101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750586318605429,0,0,0,0,0.815952837737561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10",0.920295592752026,0,0,0,0.868901816221378,0,0.843301487454408,0,0,0,0,0.760808382679723,0,0,0.971144556116832,0,0,0,0,0,0,0,0,0,0,0,0.961065108164354,0,0,0.898090869579569,0,0,0,0,0,0,0,0,0.87310565760176,0,0,0,0,0,0,0.821740855793517,0.970785297775186,0.979237756403239,0.934156487866214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898195782336728,0,0,0,0,0.970645801894148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964198412008405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874416279659153,0.978646224283185,0,0,0,0,0,0.953794964506108,0,0,0,0,0,0.940490667986187,0,0,0,0,0,0,0,0,0.812593024710209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958830522690507,0,0,0,0,0,0,0,0,0,0,0,0,0.959042306403923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877353838758596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891689162552086,0,0,0,0,0.932622253314275,0,0,0,0,0,0,0.78467963584534,0,0.837512336179548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883141195358755,0,0.807937650240385,0
"ASV_12",0.887127795968185,0,0,0,0.77617329711364,0.843301487454408,0,0,0,0,0,0.75012673898935,0,0,0.829807748359325,0,0,0,0,0,0,0,0,0,0,0,0.803363334852754,0,0,0.878259323915887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810241224374147,0.836241340481518,0.790308028437239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809193314462605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81039669836921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822578726325667,0,0,0,0,0,0.824662516474169,0,0,0,0,0,0.792239136145972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81746480872819,0,0,0,0,0,0,0,0,0,0,0,0,0.826801400445839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768770259483618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767709703223686,0,0,0,0,0.791053149414465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86263622648948,0,0,0
"ASV_13",0,0,0,0.928918611178047,0,0,0,0,0,0.97556834883629,0.814033541138969,0,0.775266521943907,0,0,0,0.915313622815433,0,0.97441877684843,0.891339205122426,0.977498886061231,0,0,0,0,0,0,0,0,0,0,0,0,0.979811004556755,0,0,0.931010256962502,0,0,0,0,0.945403506212158,0,0.9435861560935,0,0,0,0,0,0,0,0,0,0.980283737584862,0,0,0.80453253862377,0.900080926981243,0,0,0,0,0.851329876467409,0,0,0,0,0,0,0,0,0,0,0,0.939053573115979,0.884730381028797,0.931868990623306,0,0,0,0,0,0,0.969532907477934,0,0,0,0,0,0.946189489581937,0,0,0,0,0,0.906064219210552,0.958585141547306,0,0,0.842419529847028,0,0.915018968500965,0,0,0,0.897328240112441,0.880452158132214,0.902872596292575,0,0,0,0,0,0,0,0,0.970229205312285,0,0.941541028732336,0,0,0,0,0,0,0,0,0,0.851982322568532,0,0,0,0.937348869805447,0,0.818704029532346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866622767476064,0,0,0,0.937930919974459,0.873123294675298,0,0,0,0,0.911551139127632,0,0,0,0,0.860468471492878,0,0,0,0,0,0,0.911912323608732,0,0,0,0,0,0,0,0.826949190685446,0.881334225622006,0,0,0.952997237777236,0,0,0,0,0,0,0,0,0,0.913079433071071,0,0.899958693199934,0,0,0,0,0,0,0,0,0.884193839062546,0,0,0,0,0,0.796174298455039,0,0,0.825032846905685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8545451697951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78721959196433,0,0.903121300343309,0,0,0.801685058131561,0,0,0.836699563864265,0,0,0.905190536906842,0.811243916197292,0,0,0,0,0,0,0.888501200247707,0,0,0,0,0,0,0,0,0,0.887994018419568,0,0,0,0,0,0,0,0.794091848660503,0,0,0,0,0,0,0.768871132426075,0,0.881782970960723,0.893188312241835,0.792812969216772,0.768277385147336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880448571537169,0,0,0,0,0,0.768260781507249,0,0,0,0.758755590351812,0,0,0,0,0,0,0.80109664596527,0,0,0,0,0.89520696185449,0.794990692242893,0.862625688612802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792137982314835,0,0,0,0,0.861946158567497,0.784668310612525,0,0,0,0,0,0.790090818173878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830015865780825,0,0.880361404390151,0,0,0,0.877341944485631,0.769735113534514,0,0,0.839296090375419,0,0,0.843870385463096,0.863226240303002,0,0,0,0,0.873391599714504,0,0,0,0,0.799345659848022,0,0,0,0,0,0,0,0,0,0,0.765907383540619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781119635562714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750385442989885,0,0,0,0,0,0,0.780236882002892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762481647629815,0,0,0,0,0,0
"ASV_19",0,0,0,0.951750004161605,0,0,0,0.97556834883629,0,0,0.826925376869914,0,0.762077373658997,0,0,0,0.94870433269629,0,0.997710684954913,0.890341909851313,0.993278451835434,0,0,0,0.772767883656736,0,0,0,0,0,0,0,0,0.986649345853724,0,0,0.970153042584264,0,0,0,0,0.979334328235051,0,0.957591865370214,0,0,0,0,0,0,0,0,0,0.975542215033243,0,0,0.867591332842219,0.93807530986341,0,0,0,0,0.907881599042944,0,0,0,0,0,0,0,0,0,0,0,0.97944331169499,0.930873150822905,0.926262132470969,0,0,0,0,0,0,0.971820273575154,0,0,0,0,0,0.96453332698666,0,0,0,0,0,0.937691493033672,0.974814788581638,0,0,0.893738478827451,0,0.918989440626695,0,0,0,0.945513393222372,0.919235560555831,0.893778978636187,0,0,0,0,0,0,0,0,0.985364615430333,0,0.968988217823438,0,0,0,0,0,0,0,0,0,0.895516805534029,0,0,0,0.954100005045231,0,0.86108027279237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877653313987553,0,0,0,0.910485029063581,0.915375474877641,0,0,0,0,0.903080756102899,0,0,0,0,0.895542770459332,0,0,0,0,0,0,0.878476844317604,0,0,0,0,0,0,0,0.882850030686718,0.863176102269826,0,0,0.963367504457002,0,0,0,0,0,0,0,0,0,0.931552562848882,0,0.87371104517649,0,0,0,0,0,0,0,0,0.894204118295774,0,0,0.782175243163456,0,0,0.804096732148678,0,0,0.869567496720287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778558781360916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908274447794688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
