"","Var1","Var2","value","tissue","time"
"2","CKqc2","CKqc1",0.242596418732782,"Foregut","CK"
"3","CKqc3","CKqc1",0.18603650137741,"Foregut","CK"
"4","CKqc4","CKqc1",0.393451561065197,"Foregut","CK"
"5","CKqc5","CKqc1",0.236082415059688,"Foregut","CK"
"6","CKqc6","CKqc1",0.245867768595041,"Foregut","CK"
"7","CKqc1","CKqc2",0.242596418732782,"Foregut","CK"
"9","CKqc3","CKqc2",0.191603535353535,"Foregut","CK"
"10","CKqc4","CKqc2",0.555785123966942,"Foregut","CK"
"11","CKqc5","CKqc2",0.228449265381084,"Foregut","CK"
"12","CKqc6","CKqc2",0.0721705693296602,"Foregut","CK"
"13","CKqc1","CKqc3",0.18603650137741,"Foregut","CK"
"14","CKqc2","CKqc3",0.191603535353535,"Foregut","CK"
"16","CKqc4","CKqc3",0.47012741046832,"Foregut","CK"
"17","CKqc5","CKqc3",0.220816115702479,"Foregut","CK"
"18","CKqc6","CKqc3",0.18681129476584,"Foregut","CK"
"19","CKqc1","CKqc4",0.393451561065197,"Foregut","CK"
"20","CKqc2","CKqc4",0.555785123966942,"Foregut","CK"
"21","CKqc3","CKqc4",0.47012741046832,"Foregut","CK"
"23","CKqc5","CKqc4",0.554493801652893,"Foregut","CK"
"24","CKqc6","CKqc4",0.554579889807163,"Foregut","CK"
"25","CKqc1","CKqc5",0.236082415059688,"Foregut","CK"
"26","CKqc2","CKqc5",0.228449265381084,"Foregut","CK"
"27","CKqc3","CKqc5",0.220816115702479,"Foregut","CK"
"28","CKqc4","CKqc5",0.554493801652893,"Foregut","CK"
"30","CKqc6","CKqc5",0.216942148760331,"Foregut","CK"
"31","CKqc1","CKqc6",0.245867768595041,"Foregut","CK"
"32","CKqc2","CKqc6",0.0721705693296602,"Foregut","CK"
"33","CKqc3","CKqc6",0.18681129476584,"Foregut","CK"
"34","CKqc4","CKqc6",0.554579889807163,"Foregut","CK"
"35","CKqc5","CKqc6",0.216942148760331,"Foregut","CK"
"22","0hqc2","0hqc1",0.44682621671258,"Foregut","0"
"36","0hqc3","0hqc1",0.0996326905417814,"Foregut","0"
"41","0hqc4","0hqc1",0.0687270431588613,"Foregut","0"
"51","0hqc5","0hqc1",0.103477961432507,"Foregut","0"
"61","0hqc7","0hqc1",0.0651974288337925,"Foregut","0"
"71","0hqc1","0hqc2",0.44682621671258,"Foregut","0"
"91","0hqc3","0hqc2",0.446223599632691,"Foregut","0"
"101","0hqc4","0hqc2",0.446338383838384,"Foregut","0"
"111","0hqc5","0hqc2",0.446022727272727,"Foregut","0"
"121","0hqc7","0hqc2",0.445793158861341,"Foregut","0"
"131","0hqc1","0hqc3",0.0996326905417814,"Foregut","0"
"141","0hqc2","0hqc3",0.446223599632691,"Foregut","0"
"161","0hqc4","0hqc3",0.151142102846648,"Foregut","0"
"171","0hqc5","0hqc3",0.191947887970615,"Foregut","0"
"181","0hqc7","0hqc3",0.0649104683195592,"Foregut","0"
"191","0hqc1","0hqc4",0.0687270431588613,"Foregut","0"
"201","0hqc2","0hqc4",0.446338383838384,"Foregut","0"
"211","0hqc3","0hqc4",0.151142102846648,"Foregut","0"
"231","0hqc5","0hqc4",0.0655704775022957,"Foregut","0"
"241","0hqc7","0hqc4",0.105744949494949,"Foregut","0"
"251","0hqc1","0hqc5",0.103477961432507,"Foregut","0"
"261","0hqc2","0hqc5",0.446022727272727,"Foregut","0"
"271","0hqc3","0hqc5",0.191947887970615,"Foregut","0"
"281","0hqc4","0hqc5",0.0655704775022957,"Foregut","0"
"301","0hqc7","0hqc5",0.148875114784206,"Foregut","0"
"311","0hqc1","0hqc7",0.0651974288337925,"Foregut","0"
"321","0hqc2","0hqc7",0.445793158861341,"Foregut","0"
"331","0hqc3","0hqc7",0.0649104683195592,"Foregut","0"
"341","0hqc4","0hqc7",0.105744949494949,"Foregut","0"
"351","0hqc5","0hqc7",0.148875114784206,"Foregut","0"
"29","3hqc2","3hqc1",0.807306014692378,"Foregut","3"
"37","3hqc3","3hqc1",0.812012167125803,"Foregut","3"
"42","3hqc4","3hqc1",0.809113865932048,"Foregut","3"
"52","3hqc5","3hqc1",0.809515610651974,"Foregut","3"
"62","3hqc6","3hqc1",0.810519972451791,"Foregut","3"
"72","3hqc1","3hqc2",0.807306014692378,"Foregut","3"
"92","3hqc3","3hqc2",0.0562442607897153,"Foregut","3"
"102","3hqc4","3hqc2",0.0377353076216713,"Foregut","3"
"112","3hqc5","3hqc2",0.0746958218549128,"Foregut","3"
"122","3hqc6","3hqc2",0.0928030303030303,"Foregut","3"
"132","3hqc1","3hqc3",0.812012167125803,"Foregut","3"
"142","3hqc2","3hqc3",0.0562442607897153,"Foregut","3"
"162","3hqc4","3hqc3",0.0299012855831038,"Foregut","3"
"172","3hqc5","3hqc3",0.0563590449954086,"Foregut","3"
"182","3hqc6","3hqc3",0.0751836547291093,"Foregut","3"
"192","3hqc1","3hqc4",0.809113865932048,"Foregut","3"
"202","3hqc2","3hqc4",0.0377353076216713,"Foregut","3"
"212","3hqc3","3hqc4",0.0299012855831038,"Foregut","3"
"232","3hqc5","3hqc4",0.0510215794306703,"Foregut","3"
"242","3hqc6","3hqc4",0.0703053259871442,"Foregut","3"
"252","3hqc1","3hqc5",0.809515610651974,"Foregut","3"
"262","3hqc2","3hqc5",0.0746958218549128,"Foregut","3"
"272","3hqc3","3hqc5",0.0563590449954086,"Foregut","3"
"282","3hqc4","3hqc5",0.0510215794306703,"Foregut","3"
"302","3hqc6","3hqc5",0.0286099632690542,"Foregut","3"
"312","3hqc1","3hqc6",0.810519972451791,"Foregut","3"
"322","3hqc2","3hqc6",0.0928030303030303,"Foregut","3"
"332","3hqc3","3hqc6",0.0751836547291093,"Foregut","3"
"342","3hqc4","3hqc6",0.0703053259871442,"Foregut","3"
"352","3hqc5","3hqc6",0.0286099632690542,"Foregut","3"
"210","6hqc2","6hqc1",0.171458907254362,"Foregut","6"
"38","6hqc3","6hqc1",0.204086317722681,"Foregut","6"
"43","6hqc4","6hqc1",0.0731749311294766,"Foregut","6"
"53","6hqc5","6hqc1",0.435692148760331,"Foregut","6"
"63","6hqc6","6hqc1",0.201618457300275,"Foregut","6"
"73","6hqc1","6hqc2",0.171458907254362,"Foregut","6"
"93","6hqc3","6hqc2",0.172692837465565,"Foregut","6"
"103","6hqc4","6hqc2",0.192780073461892,"Foregut","6"
"113","6hqc5","6hqc2",0.437987832874197,"Foregut","6"
"123","6hqc6","6hqc2",0.069674012855831,"Foregut","6"
"133","6hqc1","6hqc3",0.204086317722681,"Foregut","6"
"143","6hqc2","6hqc3",0.172692837465565,"Foregut","6"
"163","6hqc4","6hqc3",0.22029958677686,"Foregut","6"
"173","6hqc5","6hqc3",0.435347796143251,"Foregut","6"
"183","6hqc6","6hqc3",0.200958448117539,"Foregut","6"
"193","6hqc1","6hqc4",0.0731749311294766,"Foregut","6"
"203","6hqc2","6hqc4",0.192780073461892,"Foregut","6"
"213","6hqc3","6hqc4",0.22029958677686,"Foregut","6"
"233","6hqc5","6hqc4",0.437959136822773,"Foregut","6"
"243","6hqc6","6hqc4",0.225895316804408,"Foregut","6"
"253","6hqc1","6hqc5",0.435692148760331,"Foregut","6"
"263","6hqc2","6hqc5",0.437987832874197,"Foregut","6"
"273","6hqc3","6hqc5",0.435347796143251,"Foregut","6"
"283","6hqc4","6hqc5",0.437959136822773,"Foregut","6"
"303","6hqc6","6hqc5",0.435519972451791,"Foregut","6"
"313","6hqc1","6hqc6",0.201618457300275,"Foregut","6"
"323","6hqc2","6hqc6",0.069674012855831,"Foregut","6"
"333","6hqc3","6hqc6",0.200958448117539,"Foregut","6"
"343","6hqc4","6hqc6",0.225895316804408,"Foregut","6"
"353","6hqc5","6hqc6",0.435519972451791,"Foregut","6"
"214","9hqc2","9hqc1",0.102875344352617,"Foregut","9"
"39","9hqc3","9hqc1",0.438418273645546,"Foregut","9"
"44","9hqc4","9hqc1",0.0737775482093664,"Foregut","9"
"54","9hqc5","9hqc1",0.11541551882461,"Foregut","9"
"64","9hqc6","9hqc1",0.36403810835629,"Foregut","9"
"74","9hqc1","9hqc2",0.102875344352617,"Foregut","9"
"94","9hqc3","9hqc2",0.434027777777778,"Foregut","9"
"104","9hqc4","9hqc2",0.10376492194674,"Foregut","9"
"114","9hqc5","9hqc2",0.129189623507805,"Foregut","9"
"124","9hqc6","9hqc2",0.337149908172635,"Foregut","9"
"134","9hqc1","9hqc3",0.438418273645546,"Foregut","9"
"144","9hqc2","9hqc3",0.434027777777778,"Foregut","9"
"164","9hqc4","9hqc3",0.446194903581267,"Foregut","9"
"174","9hqc5","9hqc3",0.435577364554637,"Foregut","9"
"184","9hqc6","9hqc3",0.402892561983471,"Foregut","9"
"194","9hqc1","9hqc4",0.0737775482093664,"Foregut","9"
"204","9hqc2","9hqc4",0.10376492194674,"Foregut","9"
"215","9hqc3","9hqc4",0.446194903581267,"Foregut","9"
"234","9hqc5","9hqc4",0.143566345270891,"Foregut","9"
"244","9hqc6","9hqc4",0.33261593204775,"Foregut","9"
"254","9hqc1","9hqc5",0.11541551882461,"Foregut","9"
"264","9hqc2","9hqc5",0.129189623507805,"Foregut","9"
"274","9hqc3","9hqc5",0.435577364554637,"Foregut","9"
"284","9hqc4","9hqc5",0.143566345270891,"Foregut","9"
"304","9hqc6","9hqc5",0.360192837465565,"Foregut","9"
"314","9hqc1","9hqc6",0.36403810835629,"Foregut","9"
"324","9hqc2","9hqc6",0.337149908172635,"Foregut","9"
"334","9hqc3","9hqc6",0.402892561983471,"Foregut","9"
"344","9hqc4","9hqc6",0.33261593204775,"Foregut","9"
"354","9hqc5","9hqc6",0.360192837465565,"Foregut","9"
"216","12hqc2","12hqc1",0.0515955004591368,"Foregut","12"
"310","12hqc3","12hqc1",0.356634527089073,"Foregut","12"
"45","12hqc4","12hqc1",0.0960743801652893,"Foregut","12"
"55","12hqc5","12hqc1",0.381427915518825,"Foregut","12"
"65","12hqc6","12hqc1",0.276256887052342,"Foregut","12"
"75","12hqc1","12hqc2",0.0515955004591368,"Foregut","12"
"95","12hqc3","12hqc2",0.337379476584022,"Foregut","12"
"105","12hqc4","12hqc2",0.069932277318641,"Foregut","12"
"115","12hqc5","12hqc2",0.372302571166208,"Foregut","12"
"125","12hqc6","12hqc2",0.271464646464646,"Foregut","12"
"135","12hqc1","12hqc3",0.356634527089073,"Foregut","12"
"145","12hqc2","12hqc3",0.337379476584022,"Foregut","12"
"165","12hqc4","12hqc3",0.34521349862259,"Foregut","12"
"175","12hqc5","12hqc3",0.336174242424242,"Foregut","12"
"185","12hqc6","12hqc3",0.295569329660239,"Foregut","12"
"195","12hqc1","12hqc4",0.0960743801652893,"Foregut","12"
"205","12hqc2","12hqc4",0.069932277318641,"Foregut","12"
"217","12hqc3","12hqc4",0.34521349862259,"Foregut","12"
"235","12hqc5","12hqc4",0.372761707988981,"Foregut","12"
"245","12hqc6","12hqc4",0.232610192837466,"Foregut","12"
"255","12hqc1","12hqc5",0.381427915518825,"Foregut","12"
"265","12hqc2","12hqc5",0.372302571166208,"Foregut","12"
"275","12hqc3","12hqc5",0.336174242424242,"Foregut","12"
"285","12hqc4","12hqc5",0.372761707988981,"Foregut","12"
"305","12hqc6","12hqc5",0.392188934802571,"Foregut","12"
"315","12hqc1","12hqc6",0.276256887052342,"Foregut","12"
"325","12hqc2","12hqc6",0.271464646464646,"Foregut","12"
"335","12hqc3","12hqc6",0.295569329660239,"Foregut","12"
"345","12hqc4","12hqc6",0.232610192837466,"Foregut","12"
"355","12hqc5","12hqc6",0.392188934802571,"Foregut","12"
"218","24hqc2","24hqc1",0.111168503213958,"Foregut","24"
"316","24hqc3","24hqc1",0.764491505968779,"Foregut","24"
"46","24hqc4","24hqc1",0.0999196510560147,"Foregut","24"
"56","24hqc5","24hqc1",0.107782369146006,"Foregut","24"
"66","24hqc6","24hqc1",0.140323691460055,"Foregut","24"
