	CKqc1	CKqc2	CKqc3	CKqc4	CKqc5	CKqc6	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	CKhc1	CKhc2	CKhc3	CKhc4	CKhc5	CKhc6	0hqc1	0hqc2	0hqc3	0hqc4	0hqc5	0hqc7	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	0hhc1	0hhc2	0hhc3	0hhc4	0hhc5	0hhc7	3hqc1	3hqc2	3hqc3	3hqc4	3hqc5	3hqc6	3hmc1	3hmc2	3hmc3	3hmc4	3hmc5	3hmc6	3hhc1	3hhc2	3hhc3	3hhc4	3hhc5	3hhc6	6hqc1	6hqc2	6hqc3	6hqc4	6hqc5	6hqc6	6hmc1	6hmc2	6hmc3	6hmc4	6hmc5	6hmc6	6hhc1	6hhc2	6hhc3	6hhc4	6hhc5	6hhc6	9hqc1	9hqc2	9hqc3	9hqc4	9hqc5	9hqc6	9hmc1	9hmc2	9hmc3	9hmc4	9hmc5	9hmc6	9hhc1	9hhc2	9hhc3	9hhc4	9hhc5	9hhc6	12hqc1	12hqc2	12hqc3	12hqc4	12hqc5	12hqc6	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	12hhc1	12hhc2	12hhc3	12hhc4	12hhc5	12hhc6	24hqc1	24hqc2	24hqc3	24hqc4	24hqc5	24hqc6	24hmc1	24hmc2	24hmc3	24hmc4	24hmc5	24hmc6	24hhc1	24hhc2	24hhc3	24hhc4	24hhc5	24hhc6	48hqc1	48hqc2	48hqc3	48hqc4	48hqc5	48hqc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6	48hhc1	48hhc2	48hhc3	48hhc4	48hhc5	48hhc6	72hqc1	72hqc2	72hqc3	72hqc4	72hqc5	72hqc6	72hmc1	72hmc2	72hmc3	72hmc4	72hmc5	72hmc6	72hhc1	72hhc2	72hhc3	72hhc4	72hhc5	72hhc6
ASV_1	21619	27718	24214	11219	22607	27898	21903	26405	22157	22024	22996	5680	146	122	109	155	154	154	27983	16532	30820	25743	24431	28757	32900	32797	29636	25075	31679	30013	224	270	183	269	225	236	5982	26677	27372	27476	29000	29772	29554	30904	29222	28777	30694	25472	200	164	239	25	25	16	28268	23517	22751	29841	16684	22450	26470	32626	28656	28094	27572	29713	21	27	31	18	16	26	29561	27157	16272	29020	26499	20025	28728	30171	118	32365	25779	30296	13	24	18	9	23	22	27911	27336	19505	25822	17256	22706	28976	29847	22240	31144	28575	30157	24	20	24	12	23	24	27432	25927	6897	27753	30686	25673	26820	15166	10198	28921	30342	181	14	14	14	20	14	8	24435	18970	26370	29636	20924	26259	207	217	206	250	248	184	24	10	16	18	31	19	25646	25660	16545	26138	24743	21379	207	221	162	201	237	179	10	9	12	11	13	4
ASV_2	2994	2268	1128	1819	3438	2141	726	1555	1729	606	4441	488	9655	7414	4603	11502	8285	13533	5663	2147	2379	6436	7985	3542	844	1088	2406	7236	619	1425	19334	19342	20109	21713	21098	21441	222	5995	5066	5307	4424	3817	1377	1390	3897	2767	2115	7042	13106	14833	21568	16822	17850	16750	4194	8270	3863	2888	2087	10088	792	671	4690	4526	1033	3853	16418	19880	17922	24303	10488	19938	2422	2012	2344	1316	4208	674	2369	2865	215	1259	2937	3012	11997	18500	6864	13937	11694	15159	4891	4373	1600	4459	3101	1195	3325	2462	9793	2007	4845	766	6660	5403	8551	10902	7740	12101	4877	2929	893	2794	1819	2271	1239	901	400	2221	3340	13747	4993	16938	569	5857	5840	162	1111	1983	2146	3335	1698	3468	21828	17753	22263	18907	7113	19456	11486	1495	17729	10656	8226	13505	7276	7152	235	3274	5200	1546	21178	16023	13099	22775	21068	9249	15886	12728	11741	16210	14789	9518
ASV_3	9	10	368	301	189	23	72	90	37	28	32	5	8	5	4	14	10	14	7	16	9	13	12	163	14	16	26	60	22	107	32	43	24	33	13	39	5	23	36	10	28	18	3	17	32	62	107	81	8	189	51	128	24	297	17	15	58	29	12684	58	19	27	9	28	5125	15	19	50	21	30	12891	83	154	125	70	139	983	146	1451	246	70	78	1311	60	1038	30	31	292	716	194	16	84	115	89	88	33	12	87	357	95	73	31	9	12	1136	59	44	272	56	1023	24289	2506	65	1121	591	260	14489	2038	85	9222	24	64	8537	721	287	9	603	32	178	109	2441	233	141	34	123	25	3192	69	182	4190	17	60	1677	58	8	14	3692	80	2228	555	14	13	2098	1080	1441	495	9	156	4131	334	1556	450
ASV_4	5445	76	3441	17902	775	474	8875	13	62	6182	2522	26521	21456	24550	23358	16206	18795	6637	11	8	9	19	16	14	10	6	20	10	15	81	28	31	28	31	14	25	37	24	8	12	11	20	21	28	17	18	21	11	36	33	20	14	5	7	125	11	7	4	90	48	1134	25	18	17	27	37	29	9	13	6	8	19	40	12	13369	458	109	2567	21	15	19797	11	33	86	26	4	7464	3985	3922	1395	20	17	5	29	105	26	19	20	7	13	30	16	2	114	8	241	133	43	14	10	12	5	12	210	14	14	15	20	10	266	32	13	6	9	25	2910	5	301	8	5	19	12	14	94	18	25	26	22	8	740	10	5	6	6	18	20	11480	12	10	17	18	37	36	29	27	30	8	1174	3301	27	11	23
ASV_5	1	13	37	0	70	2	32	19	50	54	24	1	6	8	3	6	13	11	0	1	12	50	8	21	2	6	8	108	60	15	47	128	0	91	6	37	3692	4	2	41	35	11	29	70	1	46	61	54	505	234	17	427	71	162	12	6	92	54	39	38	58	15	58	31	7	10	92	48	46	45	23	32	54	94	21	77	50	18	45	144	12	32	243	16	80	195	11	166	295	124	46	78	60	14	47	126	108	98	5	13	10	41	10849	1653	172	348	72	3750	14	12	4	23	3	29	18	5	7	42	18	80	24	87	566	611	1437	300	20	2	9	15	5	58	8	31	18	28	2	41	81	353	24	192	20	3549	5	2	13	0	5	1	4	9	4	13	5	4	145	22	136	99	121	4063
ASV_6	3	1	3	10	5	2	2	0	0	1	1	1	997	843	3618	2736	2760	6364	5	1	3	10	3	3	1	2	28	16	7	18	2303	3814	6708	2464	4758	3569	1	11	6	4	2	0	12	19	29	6	12	19	1485	5460	4402	5944	4456	3134	4	8	1	1	3	3	10	15	16	24	16	25	6683	6595	5535	5144	5012	3416	4	6	1	8	1	2	18	14	13	12	6	21	11430	6795	2133	2084	8522	7821	5	1	2	3	2	8	15	18	23	17	18	35	3224	2506	3251	4516	2680	3294	5	1	1	4	3	2	17	10	55	16	18	32	1604	6091	284	4491	2746	26	4	1	1	0	0	1	4126	5288	3744	5153	888	7618	14069	1079	7105	5274	4609	5542	0	1	1	3	4	1	5452	5579	13578	2655	2163	1373	11186	5421	5058	6234	5972	2187
ASV_7	2	31	0	0	4	3	111	9	3	1	2	0	5	5	1	9	5	7	4	1	1	0	0	4	2	0	3	27	0	3	673	8	3	8	3	7	2	3	0	0	5	4	2	5	11	7	3	2	3	4	8	15	6	4	6	556	1876	1	25	4	3	2	28	0	5	5	4	6	32	6	3	8	3	2	2	2	10	4	3	4	5	5	5	3	3	4	17	4	17	6	4	1	1	2	1	31	5	3	3	5	5	0	8	4	8	15	29	26	3	500	1	4	1	0	5	14518	13	5	1	14	9	12	23	169	10	53	17	2	7	47	11	0	71	10	5	489	11	2	71	1403	17	8580	57	12	5	12	19	3425	4	1	6	9	6	9	3	7	3	433	150	108	2	178
ASV_8	17	0	74	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	17	0	2	6	0	4	17	0	0	0	0	0	0	0	0	1	0	1	0	1	0	8	1	2	0	2	0	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	5	0	1	0	0	8	0	6	1	0	1	1	3	5	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	3	0	0	0	1	1	19	0	1	0	0	0	0	22	103	2	0	0	16	9	1	0	0	5	9	0	0	0	0	4	0	0	0	41	0	60	2	5	0	0	1	0	6	0	0	0	0	0	0	7	0	0	1	0	1	1	26	5	0	0	0	1	0	0	1	0	0
ASV_9	0	0	0	0	0	0	1	0	0	0	13	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	6	0	2	1	2	1	0	1	1	0	2	0	0	0	4	0	0	0	0	0	9	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	4	0	1	1	0	3	0	0	0	0	9	0	0	0	0	5	0	0	2	1	1	0	0	1	0	5	2	0	0	0	0	2	0	0	0	0	0	41	0	1	0	2	4	1	0	0	74	1	0	10	0	0	0	4	2	5	0	0	2	0	0	4	0	0	1	0	0	0	0	0	0	0	4	0	1	29	0	0	2	6
ASV_10	38	30	19	14	0	22	4	5	0	14	1	6	0	0	0	0	0	1	1	1	3	0	6	1	6	1	4	5	10	0	2	2	1	1	4	1	1	0	5	6	1	1	2	3	3	2	0	3	2	0	2	4	7	0	1	1	6	7	0	2	0	1	1	0	8	2	10	3	1	0	1	3	2	18	6	1	1	9	8	1	0	1	7	0	0	4	0	2	2	1	2	4	6	1	15	28	2	1	0	2	1	0	1	1	0	1	1	0	10	6	0	1	4	9	0	1	2	0	5	19	0	1	0	0	0	0	1	2	3	2	1	0	0	0	0	0	1	0	1	0	2	0	0	1	2	1	7	0	0	0	0	0	0	4	7	0	0	1	2	0	1	0
