#OTU ID	CKqc1	CKqc2	CKqc3	CKqc4	CKqc5	CKqc6	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	CKhc1	CKhc2	CKhc3	CKhc4	CKhc5	CKhc6	0hqc1	0hqc2	0hqc3	0hqc4	0hqc5	0hqc7	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	0hhc1	0hhc2	0hhc3	0hhc4	0hhc5	0hhc7	3hqc1	3hqc2	3hqc3	3hqc4	3hqc5	3hqc6	3hmc1	3hmc2	3hmc3	3hmc4	3hmc5	3hmc6	3hhc1	3hhc2	3hhc3	3hhc4	3hhc5	3hhc6	6hqc1	6hqc2	6hqc3	6hqc4	6hqc5	6hqc6	6hmc1	6hmc2	6hmc3	6hmc4	6hmc5	6hmc6	6hhc1	6hhc2	6hhc3	6hhc4	6hhc5	6hhc6	9hqc1	9hqc2	9hqc3	9hqc4	9hqc5	9hqc6	9hmc1	9hmc2	9hmc3	9hmc4	9hmc5	9hmc6	9hhc1	9hhc2	9hhc3	9hhc4	9hhc5	9hhc6	12hqc1	12hqc2	12hqc3	12hqc4	12hqc5	12hqc6	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	12hhc1	12hhc2	12hhc3	12hhc4	12hhc5	12hhc6	24hqc1	24hqc2	24hqc3	24hqc4	24hqc5	24hqc6	24hmc1	24hmc2	24hmc3	24hmc4	24hmc5	24hmc6	24hhc1	24hhc2	24hhc3	24hhc4	24hhc5	24hhc6	48hqc1	48hqc2	48hqc3	48hqc4	48hqc5	48hqc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6	48hhc1	48hhc2	48hhc3	48hhc4	48hhc5	48hhc6	72hqc1	72hqc2	72hqc3	72hqc4	72hqc5	72hqc6	72hmc1	72hmc2	72hmc3	72hmc4	72hmc5	72hmc6	72hhc1	72hhc2	72hhc3	72hhc4	72hhc5	72hhc6	CK1	CK2	CK3	CK4	CK5	CK6	0h1	0h2	0h3	0h4	0h5	0h7	3h1	3h2	3h3	3h4	3h5	3h6	6h1	6h2	6h3	6h4	6h5	6h6	9h1	9h2	9h3	9h4	9h5	9h6	12h1	12h2	12h3	12h4	12h5	12h6	24h1	24h2	24h3	24h4	24h5	24h6	48h1	48h2	48h3	48h4	48h5	48h6	72h1	72h2	72h3	72h4	72h5	72h6	pCK1	pCK2	pCK3	pCK4	pCK5	pCK6	pCK7	pCK8	Y01	Y02	Y03	Y04	Y05	Y06	Y07	Y08	Y31	Y32	Y33	Y34	Y35	Y36	Y37	Y38	Y61	Y62	Y63	Y64	Y65	Y66	Y67	Y68	Y91	Y92	Y93	Y94	Y95	Y96	Y97	Y98	Y121	Y122	Y123	Y124	Y125	Y126	Y127	Y128	Y241	Y242	Y243	Y244	Y245	Y246	Y247	Y248
ASV_1	58497	73079	38172	40001	57286	52016	65176	41198	58550	56703	45540	16742	451	267	366	448	261	440	81837	49188	53093	70200	64029	73250	72704	44989	79871	62466	53792	108301	398	309	422	257	402	351	22356	59941	54439	82079	76707	66797	95193	55143	89710	75628	54726	75175	300	319	379	54	52	23	68908	55424	38220	80108	45416	45539	67306	91689	85089	61726	60891	89509	56	63	43	51	47	33	78585	81972	41899	76690	64060	39472	76930	63760	357	80698	45593	78224	64	57	53	44	53	44	88403	75577	40904	82018	54904	43450	80295	55999	52982	101181	57724	82236	77	63	53	31	53	36	72550	52969	13136	76399	73157	42059	66146	31753	36385	61272	55267	482	56	49	29	55	60	31	47545	47212	47181	75069	54775	50919	447	251	476	390	313	460	53	31	20	50	54	28	67978	77326	31509	80967	61852	31804	473	275	316	368	287	490	35	23	20	30	28	7	124124	114544	97088	97152	103087	69198	154939	94486	133386	132923	118223	181902	117849	115403	144528	157761	131485	141995	136270	147176	123352	141885	106354	135081	155579	145789	42309	157432	109706	117740	168775	131639	93939	183230	112681	125722	138752	84771	49550	137726	128484	42572	48045	47494	47677	75509	55142	51407	68486	77624	31845	81365	62167	32301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	7911	5839	1796	6610	8796	4022	2128	2417	4472	1557	8982	1448	31609	16220	15058	35084	14698	36858	16870	6417	4150	17445	21102	9169	1860	1539	6563	18377	1053	4982	34972	23823	46312	21707	40053	34842	782	13819	10293	16124	11675	8570	4585	2528	11588	7326	3772	21039	20779	29500	34465	38404	37104	23837	10365	19381	6455	7993	5583	20453	1970	1948	13884	9820	2226	11673	49161	46757	25620	74377	27233	26673	6435	5767	5859	3457	10403	1310	6309	5974	780	3124	5093	7813	34805	42412	19724	40941	25345	29464	15268	12189	3370	14212	9701	2376	9285	4557	23208	6645	9978	2040	21341	17440	17640	23816	18511	18271	12820	5976	1688	7877	4533	3733	2987	1827	1453	4708	6034	42026	21092	43618	1690	16509	18135	433	2176	4886	3799	8456	4497	6817	47261	21083	56477	30116	9043	50327	31068	4033	24287	34471	15100	23525	19355	21708	435	10138	12973	2271	50039	20675	26957	41168	26366	25501	47692	31242	16493	48546	28598	13285	41648	24476	21326	43251	32476	42328	53702	31779	57025	57529	62208	48993	26146	45847	56346	61854	52551	53446	61496	68086	45959	92190	35042	58799	47549	54153	26363	47522	40841	38587	45894	34186	44218	44673	38190	22687	36899	51421	4831	29094	28702	46192	80505	30002	84563	73043	28640	80669	117086	73625	43885	99852	67937	41057	1	1	0	0	9	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3	14	5	4	29	12	4	7	0	4	2	1	7	3094	1928	11662	8543	4921	17336	10	8	3	21	6	11	3	2	78	35	12	68	4061	4671	15432	2461	9057	5819	1	17	12	9	2	0	41	28	64	36	22	78	2343	11112	7060	13586	9390	4459	12	14	2	10	4	3	40	38	53	47	35	64	20354	15406	7835	15321	13272	4577	11	28	4	19	4	6	54	30	41	43	13	64	33016	15434	5834	6280	18622	15220	14	6	4	15	12	24	45	26	51	50	27	94	10227	8039	6722	9892	6459	4919	12	8	3	11	5	4	41	17	177	36	31	101	6775	15655	830	12721	8544	84	11	5	3	2	1	1	8899	6231	9443	8226	1091	19403	37610	3049	9869	17249	8465	9611	5	7	2	9	8	3	12790	7130	27875	4808	2716	3834	33182	13261	7170	18907	11657	3099	3115	1933	11670	8574	4934	17347	4074	4681	15513	2517	9075	5898	2385	11157	7136	13631	9414	4537	20406	15458	7890	15378	13311	4644	33081	15492	5879	6342	18639	15290	10286	8071	6777	9957	6498	5037	6828	15680	1010	12768	8580	189	46520	9285	19315	25477	9557	29015	45977	20398	35047	23724	14381	6936	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	15012	215	5378	65469	1985	907	25968	22	153	15974	4921	78887	69655	54502	74833	50597	33405	18445	31	24	17	57	39	46	20	10	54	30	26	301	55	37	61	31	34	38	124	50	19	30	25	33	60	49	47	49	39	40	52	75	30	21	11	12	309	21	19	19	230	108	2898	61	47	40	52	126	110	13	14	12	19	23	115	31	34020	1196	236	5083	54	39	68647	28	59	200	79	12	21069	11403	8454	2613	48	44	16	122	329	54	38	42	25	50	68	40	7	391	17	590	325	66	26	17	18	17	32	372	44	24	58	39	21	884	107	29	20	20	58	8289	16	685	15	25	45	32	41	110	63	33	31	51	14	2130	11	24	11	9	49	54	22058	32	30	26	46	45	83	46	38	69	23	2835	4716	70	24	24	110635	54739	80364	132040	40311	98239	106	71	132	118	99	385	236	174	96	100	75	85	3317	95	80	71	301	257	248	82	123736	12627	8749	7896	93	477	58	762	722	160	177	70	96	76	111	9545	71	2925	89	82	87	92	118	2934	26857	148	92	119	10947	11049	4630	15919	13808	9298	13928	13318	9	28	10	35	19	20	28	25	17	6	16	38	11	12	22	21	28	14	16	30	20	24	26	25	36	62	84	32	97	36	35	85	9008	5941	8743	10021	4623	13045	13825	5656	2682	2421	1353	2605	3242	1702	2864	1469
ASV_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3733	4126	2176	5251	4331	4351	4584	10071	7182	10692	8562	9234	11477	8261	6091	7867	62870	38515	64325	53697	62546	70698	78409	52686	69035	68023	84509	76084	67813	65465	95738	54179	2214	2648	2429	1498	3156	1300	1627	2539	11988	11736	14446	19642	10363	16436	13561	12306	3784	5124	4190	4470	3498	4628	5356	3043
ASV_6	3	2	0	1	1	1	1	2	1	1	4	10	14	32	54	8	13	12	0	2	0	1	2	18	0	0	7	15	5	12	16	3	10	5	7	4	1	6	0	1	0	0	8	9	5	7	5	15	8	9	11	37	25	21	19	3	0	10	8	1	5	32	9	8	11	10	27	22	10	24	22	17	0	3	2891	28	2	77	6	8	46518	6	8	18	27	27	40781	3112	47	294	1	2	1	7	48	34	15	8	5	21	12	12	18	30	79	8294	197	12	0	0	0	2	2	1	95	12	12	17	3	16	14877	378	64	210	319	183	0	2	3	0	3	1	13	8	11	7	10	10	116	92	15	97	55	21	1	0	42	6	0	1	8	7	3	5	7	6	23	85	478	374	35	1860	18	36	55	10	18	23	16	5	17	21	14	34	17	24	16	45	30	36	51	57	19	42	41	28	33	38	90190	3146	57	389	34	40	85	8322	257	58	14972	390	76	229	324	200	129	102	29	104	68	32	32	92	523	385	42	1867	17903	17957	7721	23139	22235	13426	22424	20832	30898	57239	44749	51841	53401	38432	31217	45470	41	51	50	127	66	59	73	67	251	209	162	299	210	212	392	223	34334	63425	55090	26356	53907	36882	22046	58495	8304	5533	8627	9335	4372	12905	10341	5256	36111	32909	16743	35147	32285	17464	34210	19093
ASV_7	526	346	151	469	145	262	253	184	169	329	172	93	4935	1198	1237	4565	3204	4521	155	84	92	398	460	344	192	85	432	465	210	681	7545	6339	8492	5581	9189	8474	65	156	449	353	157	132	182	176	342	313	200	356	4526	6908	7119	10357	11043	8153	119	221	170	200	102	208	256	177	168	303	140	242	14088	7343	7708	6354	5438	7828	433	997	146	281	292	172	264	134	84	181	302	149	4655	5237	1849	7691	3802	6217	278	201	401	256	362	243	378	166	248	237	147	163	3516	3134	5698	4211	1805	3008	381	257	19	101	304	341	191	75	180	121	93	1332	1906	6464	394	2952	4961	101	111	320	230	204	357	149	8206	3130	8409	6622	1447	6145	6010	724	7679	6184	3664	6832	214	245	53	165	240	87	10757	5757	2744	6689	6862	4255	7321	6403	4165	5606	5683	3189	5714	1728	1557	5363	3521	4876	7892	6508	9016	6444	9859	9499	4773	7240	7910	11023	11400	8641	14463	7741	8046	6857	5680	8278	5352	6368	2079	8153	4396	6538	4172	3501	6347	4704	2314	3414	2478	6796	593	3174	5358	1774	14327	4174	16318	13010	5468	13126	18292	12405	6962	12460	12785	7531	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	20	42	580	1117	485	31	215	136	112	82	65	24	22	13	13	42	20	40	21	38	16	32	28	418	36	19	63	159	33	400	53	52	44	33	28	68	41	47	62	40	97	40	15	27	94	147	183	223	13	382	85	301	53	423	43	32	93	66	34305	127	50	52	34	62	11186	67	74	111	27	87	33652	111	408	325	167	345	2400	300	3814	519	217	181	2267	146	3081	56	68	884	1572	354	44	244	250	317	271	82	31	164	831	333	135	90	31	43	2326	113	89	401	158	2137	45941	6894	171	1830	1414	531	51408	4224	144	28261	101	145	24616	2040	898	33	1133	84	297	271	6542	464	327	43	301	42	4096	178	498	11738	26	175	3052	109	28	35	7030	229	5519	750	32	21	4235	1947	1848	1355	35	385	5811	973	2907	612	257	191	705	1241	570	95	110	109	123	224	89	886	69	456	241	488	333	686	167	195	154	215	79143	305	7303	900	452	1410	6239	800	106	451	3407	763	495	573	1673	2813	121965	13158	1213	30124	1958	11865	624	488	13690	751	95	441	17076	3149	10274	2717	0	0	1	4	2	0	1	2	0	1	1	0	0	0	1	1	21	4	46	37	32	48	65	22	0	0	11	18	0	0	0	1	0	2	0	1	0	0	0	3	0	0	1	0	1	3	1	1	0	0	0	3	1	1	2	2
ASV_9	33	27	108	288	140	120	1284	4	21	196	177	2535	97	144	2246	995	140	1348	14	6	9	17	17	12	15	4	3	8	4	9	6	0	6	0	0	1	83149	13	10	9	9	5	9622	3	2	6	3	8	20271	7	1	5	2	6	16	18	70	34	12	17	18	6	60	6	1	5	18	8	0	7	10	3	21	17	28	244	11	15687	3	2	28	11	1	688	8	5	27	2951	27	610	34	19	39	4631	142	9753	19	11	3	420	2	513	30	11	8	855	120	1199	50	729	10	18	46	1399	117	181	7	7	17	392	1038	2224	8	260	4161	90	15	21	3	14	14	5	12	9	5	4	6	3	186	53	9	12	5	2	6	11	775	21	33	8	2	6	19	5	11	5	405	9660	942	441	1489	2302	1414	175	2375	1479	457	4003	35	10	18	25	21	22	113042	23	13	20	14	19	52	32	130	47	23	25	32	24	83	3206	39	16985	83	41	50	5906	264	11465	1205	3134	25	285	4224	1881	213	83	17	30	25	10	413	9677	1736	467	1533	2315	1703	1480	738	2101	2012	1131	1953	1903	1	2	2	9	5	9	2	1	2	1	5	6	2	5	8	4	3	4	3	3	4	5	7	2	3	9	11	3	15	6	6	10	35	27	28	39	18	60	51	24	147	172	110	169	183	102	171	78
ASV_10	1	1	1	3	3	1	1	0	1	0	0	2	466	313	1974	1474	898	2909	0	0	3	4	0	6	1	0	10	14	3	12	777	811	2730	473	1576	981	0	0	0	2	0	0	9	2	12	8	4	7	404	2018	1145	2363	1549	735	0	0	0	0	0	1	9	10	8	15	4	9	3529	2778	1320	2531	2429	799	1	0	0	1	0	0	10	3	12	6	4	14	5641	2553	1000	1091	3056	2720	2	0	5	2	2	1	9	3	6	10	5	13	1846	1345	1117	1751	1038	884	4	2	0	2	1	1	7	1	35	7	4	3	1115	2704	140	2061	1391	23	2	0	0	1	1	9	1534	1089	1574	1430	206	3395	6455	501	1659	3002	1361	1630	3	1	2	2	0	0	2312	1192	4700	830	514	703	5832	2243	1217	3178	1979	547	468	314	1976	1477	901	2912	778	811	2743	491	1579	999	413	2020	1157	2373	1553	742	3538	2788	1328	2546	2433	809	5652	2556	1012	1098	3060	2734	1857	1348	1128	1763	1045	898	1126	2707	175	2070	1396	27	7991	1590	3233	4433	1568	5034	8147	3436	5919	4010	2493	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
