ASV_ID	pCK1	pCK2	pCK3	pCK4	pCK5	pCK6	pCK7	pCK8	Y01	Y02	Y03	Y04	Y05	Y06	Y07	Y08	Y31	Y32	Y33	Y34	Y35	Y36	Y37	Y38	Y61	Y62	Y63	Y64	Y65	Y66	Y67	Y68	Y91	Y92	Y93	Y94	Y95	Y96	Y97	Y98	Y121	Y122	Y123	Y124	Y125	Y126	Y127	Y128	Y241	Y242	Y243	Y244	Y245	Y246	Y247	Y248
ASV_1	339	417	491	372	314	469	249	318	4	2	1	4	2	3	1	1	10	7	13	11	5	13	20	2	2	1	2	1	1	3	1	3	4	2	2	4	2	6	5	5	732	1037	720	700	930	912	848	974	9	4	21	14	6	17	19	24
ASV_2	1821	2028	2176	1902	1674	2218	1835	3578	4364	3694	3700	3485	3934	4211	3841	3410	22801	20216	21867	21268	22884	20811	22274	21893	21058	21718	21627	20882	21655	20588	21965	21724	1404	912	954	1236	1257	808	1587	914	5645	7310	6365	7535	7667	5427	4805	7698	1289	1886	2752	1609	1350	2821	1846	1948
ASV_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	8641	8527	7718	8563	8651	6903	8845	7491	18811	19825	19362	19936	18704	19619	19768	20216	16	18	20	42	32	15	13	28	86	62	35	86	61	72	94	89	21765	22378	22187	22062	21992	22489	21441	22113	4039	3421	3887	3476	3253	4253	3642	3264	12464	11908	11098	12484	12096	10600	11882	12068
ASV_5	216	124	149	89	127	117	104	140	2	0	1	1	2	0	0	0	3	0	5	0	0	0	0	0	2	0	0	0	0	10	1	1	2	0	2	1	0	0	0	0	13	16	20	6	14	9	8	13	1	2	4	2	1	0	4	6
ASV_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	1	3	4	4	4	3	2	0	0	0	0	0	0	0	0	15	2	5	4	17	0	10	5	8	1	7	4	1	18	23	2	16	10	7	21	7	11	26	17	39	54	33	52	53	27	47	53	4	1	5	2	8	2	4	1
ASV_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	1	1	0	0	3	2	4	5	5	4	3	3	3	2	1	1	1	2	0	1	3
ASV_9	0	1	0	5	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	2	1	1	0	0	0	0	0	0	0	0	14	14	10	8	10	15	16	15	0	0	2	0	1	0	2	0
ASV_10	9	20	12	11	5	12	23	16	0	0	1	1	0	2	0	2	0	0	1	1	2	1	0	2	4	4	0	1	1	0	0	0	2	1	3	2	1	3	1	1	208	252	222	186	240	261	266	296	9	1	6	9	3	9	3	8
