SampleID	group	tissue	time
CKqc1	CK_qc	Foregut	CK
CKqc2	CK_qc	Foregut	CK
CKqc3	CK_qc	Foregut	CK
CKqc4	CK_qc	Foregut	CK
CKqc5	CK_qc	Foregut	CK
CKqc6	CK_qc	Foregut	CK
CKmc1	CK_mc	Midgut	CK
CKmc2	CK_mc	Midgut	CK
CKmc3	CK_mc	Midgut	CK
CKmc4	CK_mc	Midgut	CK
CKmc5	CK_mc	Midgut	CK
CKmc6	CK_mc	Midgut	CK
CKhc1	CK_hc	Hindgut	CK
CKhc2	CK_hc	Hindgut	CK
CKhc3	CK_hc	Hindgut	CK
CKhc4	CK_hc	Hindgut	CK
CKhc5	CK_hc	Hindgut	CK
CKhc6	CK_hc	Hindgut	CK
0hqc1	0h_qc	Foregut	0
0hqc2	0h_qc	Foregut	0
0hqc3	0h_qc	Foregut	0
0hqc4	0h_qc	Foregut	0
0hqc5	0h_qc	Foregut	0
0hqc7	0h_qc	Foregut	0
0hmc1	0h_mc	Midgut	0
0hmc2	0h_mc	Midgut	0
0hmc3	0h_mc	Midgut	0
0hmc4	0h_mc	Midgut	0
0hmc5	0h_mc	Midgut	0
0hmc7	0h_mc	Midgut	0
0hhc1	0h_hc	Hindgut	0
0hhc2	0h_hc	Hindgut	0
0hhc3	0h_hc	Hindgut	0
0hhc4	0h_hc	Hindgut	0
0hhc5	0h_hc	Hindgut	0
0hhc7	0h_hc	Hindgut	0
3hqc1	3h_qc	Foregut	3
3hqc2	3h_qc	Foregut	3
3hqc3	3h_qc	Foregut	3
3hqc4	3h_qc	Foregut	3
3hqc5	3h_qc	Foregut	3
3hqc6	3h_qc	Foregut	3
3hmc1	3h_mc	Midgut	3
3hmc2	3h_mc	Midgut	3
3hmc3	3h_mc	Midgut	3
3hmc4	3h_mc	Midgut	3
3hmc5	3h_mc	Midgut	3
3hmc6	3h_mc	Midgut	3
3hhc1	3h_hc	Hindgut	3
3hhc2	3h_hc	Hindgut	3
3hhc3	3h_hc	Hindgut	3
3hhc4	3h_hc	Hindgut	3
3hhc5	3h_hc	Hindgut	3
3hhc6	3h_hc	Hindgut	3
6hqc1	6h_qc	Foregut	6
6hqc2	6h_qc	Foregut	6
6hqc3	6h_qc	Foregut	6
6hqc4	6h_qc	Foregut	6
6hqc5	6h_qc	Foregut	6
6hqc6	6h_qc	Foregut	6
6hmc1	6h_mc	Midgut	6
6hmc2	6h_mc	Midgut	6
6hmc3	6h_mc	Midgut	6
6hmc4	6h_mc	Midgut	6
6hmc5	6h_mc	Midgut	6
6hmc6	6h_mc	Midgut	6
6hhc1	6h_hc	Hindgut	6
6hhc2	6h_hc	Hindgut	6
6hhc3	6h_hc	Hindgut	6
6hhc4	6h_hc	Hindgut	6
6hhc5	6h_hc	Hindgut	6
6hhc6	6h_hc	Hindgut	6
