SampleID	group	tissue	time
CKqc1	1	Foregut	-1
CKqc2	2	Foregut	-1
CKqc3	3	Foregut	-1
CKqc4	4	Foregut	-1
CKqc5	5	Foregut	-1
CKqc6	6	Foregut	-1
CKmc1	1	Midgut	-1
CKmc2	2	Midgut	-1
CKmc3	3	Midgut	-1
CKmc4	4	Midgut	-1
CKmc5	5	Midgut	-1
CKmc6	6	Midgut	-1
CKhc1	1	Hindgut	-1
CKhc2	2	Hindgut	-1
CKhc3	3	Hindgut	-1
CKhc4	4	Hindgut	-1
CKhc5	5	Hindgut	-1
CKhc6	6	Hindgut	-1
0hqc1	1	Foregut	0
0hqc2	2	Foregut	0
0hqc3	3	Foregut	0
0hqc4	4	Foregut	0
0hqc5	5	Foregut	0
0hqc7	6	Foregut	0
0hmc1	1	Midgut	0
0hmc2	2	Midgut	0
0hmc3	3	Midgut	0
0hmc4	4	Midgut	0
0hmc5	5	Midgut	0
0hmc7	6	Midgut	0
0hhc1	1	Hindgut	0
0hhc2	2	Hindgut	0
0hhc3	3	Hindgut	0
0hhc4	4	Hindgut	0
0hhc5	5	Hindgut	0
0hhc7	6	Hindgut	0
3hqc1	1	Foregut	3
3hqc2	2	Foregut	3
3hqc3	3	Foregut	3
3hqc4	4	Foregut	3
3hqc5	5	Foregut	3
3hqc6	6	Foregut	3
3hmc1	1	Midgut	3
3hmc2	2	Midgut	3
3hmc3	3	Midgut	3
3hmc4	4	Midgut	3
3hmc5	5	Midgut	3
3hmc6	6	Midgut	3
3hhc1	1	Hindgut	3
3hhc2	2	Hindgut	3
3hhc3	3	Hindgut	3
3hhc4	4	Hindgut	3
3hhc5	5	Hindgut	3
3hhc6	6	Hindgut	3
6hqc1	1	Foregut	6
6hqc2	2	Foregut	6
6hqc3	3	Foregut	6
6hqc4	4	Foregut	6
6hqc5	5	Foregut	6
6hqc6	6	Foregut	6
6hmc1	1	Midgut	6
6hmc2	2	Midgut	6
6hmc3	3	Midgut	6
6hmc4	4	Midgut	6
6hmc5	5	Midgut	6
6hmc6	6	Midgut	6
6hhc1	1	Hindgut	6
6hhc2	2	Hindgut	6
6hhc3	3	Hindgut	6
6hhc4	4	Hindgut	6
6hhc5	5	Hindgut	6
6hhc6	6	Hindgut	6
9hqc1	1	Foregut	9
9hqc2	2	Foregut	9
9hqc3	3	Foregut	9
9hqc4	4	Foregut	9
9hqc5	5	Foregut	9
9hqc6	6	Foregut	9
9hmc1	1	Midgut	9
9hmc2	2	Midgut	9
9hmc3	3	Midgut	9
9hmc4	4	Midgut	9
9hmc5	5	Midgut	9
9hmc6	6	Midgut	9
9hhc1	1	Hindgut	9
9hhc2	2	Hindgut	9
9hhc3	3	Hindgut	9
9hhc4	4	Hindgut	9
9hhc5	5	Hindgut	9
9hhc6	6	Hindgut	9
12hqc1	1	Foregut	12
12hqc2	2	Foregut	12
12hqc3	3	Foregut	12
12hqc4	4	Foregut	12
12hqc5	5	Foregut	12
12hqc6	6	Foregut	12
12hmc1	1	Midgut	12
12hmc2	2	Midgut	12
12hmc3	3	Midgut	12
12hmc4	4	Midgut	12
12hmc5	5	Midgut	12
12hmc6	6	Midgut	12
12hhc1	1	Hindgut	12
12hhc2	2	Hindgut	12
12hhc3	3	Hindgut	12
12hhc4	4	Hindgut	12
12hhc5	5	Hindgut	12
12hhc6	6	Hindgut	12
24hqc1	1	Foregut	24
24hqc2	2	Foregut	24
24hqc3	3	Foregut	24
24hqc4	4	Foregut	24
24hqc5	5	Foregut	24
24hqc6	6	Foregut	24
24hmc1	1	Midgut	24
24hmc2	2	Midgut	24
24hmc3	3	Midgut	24
24hmc4	4	Midgut	24
24hmc5	5	Midgut	24
24hmc6	6	Midgut	24
24hhc1	1	Hindgut	24
24hhc2	2	Hindgut	24
24hhc3	3	Hindgut	24
24hhc4	4	Hindgut	24
24hhc5	5	Hindgut	24
24hhc6	6	Hindgut	24
48hqc1	1	Foregut	48
48hqc2	2	Foregut	48
48hqc3	3	Foregut	48
48hqc4	4	Foregut	48
48hqc5	5	Foregut	48
48hqc6	6	Foregut	48
48hmc1	1	Midgut	48
48hmc2	2	Midgut	48
48hmc3	3	Midgut	48
48hmc4	4	Midgut	48
48hmc5	5	Midgut	48
48hmc6	6	Midgut	48
48hhc1	1	Hindgut	48
48hhc2	2	Hindgut	48
48hhc3	3	Hindgut	48
48hhc4	4	Hindgut	48
48hhc5	5	Hindgut	48
48hhc6	6	Hindgut	48
72hqc1	1	Foregut	72
72hqc2	2	Foregut	72
72hqc3	3	Foregut	72
72hqc4	4	Foregut	72
72hqc5	5	Foregut	72
72hqc6	6	Foregut	72
72hmc1	1	Midgut	72
72hmc2	2	Midgut	72
72hmc3	3	Midgut	72
72hmc4	4	Midgut	72
72hmc5	5	Midgut	72
72hmc6	6	Midgut	72
72hhc1	1	Hindgut	72
72hhc2	2	Hindgut	72
72hhc3	3	Hindgut	72
72hhc4	4	Hindgut	72
72hhc5	5	Hindgut	72
72hhc6	6	Hindgut	72
