SampleID,time,wo,wt,time1
CKhc1,CK,39.71,39.71,0
CKhc2,CK,38.45,38.45,0
CKhc3,CK,37.09,37.09,0
CKhc4,CK,39.84,39.84,0
CKhc5,CK,38.07,38.07,0
CKhc6,CK,35.96,35.96,0
0hhc1,0,29.17,50.06,0
0hhc2,0,20.04,27.63,0
0hhc3,0,21.28,34.96,0
0hhc4,0,28.83,37.75,0
0hhc5,0,39.35,66.86,0
0hhc7,0,25.81,42.34,0
3hhc1,3,22.48,35.93,0
3hhc2,3,23.13,37.25,0
3hhc3,3,23.01,36.18,0
3hhc4,3,28.96,47.85,0
3hhc5,3,22.51,36.32,0
3hhc6,3,25.63,38.71,0
6hhc1,6,33.45,56.36,0
6hhc2,6,34.45,52.48,0
6hhc3,6,24.07,37.54,0
6hhc4,6,29.81,55.48,0
6hhc5,6,21.64,30.3,0
6hhc6,6,26.54,43.48,0
9hhc1,9,24.89,37.68,0
9hhc2,9,20.24,30.4,0
9hhc3,9,22.55,34.3,0
9hhc4,9,25.18,36.84,0
9hhc5,9,26.58,37.96,0
9hhc6,9,28.54,40.65,0
12hhc1,12,26.69,38.68,0
12hhc2,12,29.4,50.98,0
12hhc3,12,24.72,36.78,0
12hhc4,12,22.07,36.16,0
12hhc5,12,27.77,43.98,0
12hhc6,12,22.12,32.22,0
24hhc1,24,27.76,38.54,1
24hhc2,24,34.79,52.25,1
24hhc3,24,27.9,41.58,1
24hhc4,24,23.82,35.63,1
24hhc5,24,25.28,36.68,1
24hhc6,24,21.52,27.67,1
48hhc1,48,23.46,31.74,1
48hhc2,48,22.44,30.68,1
48hhc3,48,25.99,41.03,1
48hhc4,48,39.71,48.72,1
48hhc5,48,35.09,65.76,1
48hhc6,48,21.87,29.52,1
72hhc1,72,30.31,53.98,1
72hhc2,72,20.21,35.99,1
72hhc3,72,38.37,72.36,1
72hhc4,72,30.91,50.68,1
72hhc5,72,35.09,63.62,1
72hhc6,72,32.87,59.38,1
