SampleID,time,wo,wt,time1
CKmc1,CK,39.71,39.71,CK
CKmc2,CK,38.45,38.45,CK
CKmc3,CK,37.09,37.09,CK
CKmc4,CK,39.84,39.84,CK
CKmc5,CK,38.07,38.07,CK
CKmc6,CK,35.96,35.96,CK
0hmc1,0,29.17,50.06,0
0hmc2,0,20.04,27.63,0
0hmc3,0,21.28,34.96,0
0hmc4,0,28.83,37.75,0
0hmc5,0,39.35,66.86,0
0hmc7,0,25.81,42.34,0
3hmc1,3,22.48,35.93,0
3hmc2,3,23.13,37.25,0
3hmc3,3,23.01,36.18,0
3hmc4,3,28.96,47.85,0
3hmc5,3,22.51,36.32,0
3hmc6,3,25.63,38.71,0
6hmc1,6,33.45,56.36,0
6hmc2,6,34.45,52.48,0
6hmc3,6,24.07,37.54,0
6hmc4,6,29.81,55.48,0
6hmc5,6,21.64,30.3,0
6hmc6,6,26.54,43.48,0
9hmc1,9,24.89,37.68,0
9hmc2,9,20.24,30.4,0
9hmc3,9,22.55,34.3,0
9hmc4,9,25.18,36.84,0
9hmc5,9,26.58,37.96,0
9hmc6,9,28.54,40.65,0
12hmc1,12,26.69,38.68,0
12hmc2,12,29.4,50.98,0
12hmc3,12,24.72,36.78,0
12hmc4,12,22.07,36.16,0
12hmc5,12,27.77,43.98,0
12hmc6,12,22.12,32.22,0
24hmc1,24,27.76,38.54,0
24hmc2,24,34.79,52.25,0
24hmc3,24,27.9,41.58,0
24hmc4,24,23.82,35.63,0
24hmc5,24,25.28,36.68,0
24hmc6,24,21.52,27.67,0
48hmc1,48,23.46,31.74,1
48hmc2,48,22.44,30.68,1
48hmc3,48,25.99,41.03,1
48hmc4,48,39.71,48.72,1
48hmc5,48,35.09,65.76,1
48hmc6,48,21.87,29.52,1
72hmc1,72,30.31,53.98,1
72hmc2,72,20.21,35.99,1
72hmc3,72,38.37,72.36,1
72hmc4,72,30.91,50.68,1
72hmc5,72,35.09,63.62,1
72hmc6,72,32.87,59.38,1
