ASV_ID	Kingdom	Phylum	PC	Class	Order	Family	Genus	Species
ASV_1	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Unassigned
ASV_8	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_baumannii
ASV_5	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unassigned	Unassigned
ASV_14	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Unassigned
ASV_12	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Unassigned
ASV_10	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Unassigned
ASV_24	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unassigned	Unassigned
ASV_11	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marivita	Unassigned
ASV_22	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unassigned	Unassigned
ASV_2	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
ASV_28	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_4	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_7	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unassigned
ASV_26	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Unassigned
ASV_18	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unassigned	Unassigned
ASV_31	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_20	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unassigned	Unassigned
ASV_19	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_baumannii
ASV_13	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_venetianus
ASV_30	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia_pickettii
ASV_6	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
ASV_15	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Unassigned
ASV_29	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unassigned	Unassigned
ASV_17	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassococcus	Thalassococcus_halodurans
ASV_27	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nautella	Unassigned
ASV_23	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Unassigned
ASV_9	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Unassigned	Unassigned	Unassigned
ASV_16	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unassigned	Unassigned
ASV_3	Bacteria	Firmicutes	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_XII	Exiguobacterium	Unassigned
ASV_21	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unassigned
ASV_34	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	Unassigned
ASV_39	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
ASV_37	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marivita	Unassigned
ASV_40	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Unassigned
ASV_45	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
ASV_44	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Unassigned
ASV_42	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_32	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned
ASV_33	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia_mannitolilytica
ASV_46	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Prauserella	Unassigned
ASV_41	Bacteria	Firmicutes	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Unassigned
ASV_35	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium_acnes
ASV_43	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unassigned
ASV_38	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unassigned
ASV_49	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Unassigned	Unassigned
ASV_62	Bacteria	Chlamydiae	Chlamydiae	Chlamydiia	Chlamydiales	Unassigned	Unassigned	Unassigned
ASV_36	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unassigned	Unassigned
ASV_64	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_68	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_56	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_66	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
ASV_65	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	Rubrobacter_bracarensis
ASV_63	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unassigned	Unassigned
ASV_47	Bacteria	Firmicutes	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Anoxybacillus	Unassigned
ASV_67	Bacteria	Firmicutes	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned
ASV_48	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola	Unassigned
ASV_58	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unassigned
ASV_54	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Donghicola	Donghicola_eburneus
ASV_52	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Unassigned
ASV_51	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_53	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Unassigned
ASV_57	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Unassigned
ASV_50	Bacteria	Firmicutes	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned
ASV_60	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned
ASV_59	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas_maltophilia
ASV_55	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unassigned	Unassigned
ASV_71	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_junii
ASV_61	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unassigned
ASV_77	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Unassigned	Unassigned
ASV_70	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_73	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_69	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia_insidiosa
ASV_80	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_79	Bacteria	Firmicutes	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XII	Fusibacter	Unassigned
ASV_82	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unassigned
ASV_76	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_84	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Unassigned
ASV_83	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unassigned
ASV_86	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Unassigned
ASV_78	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Unassigned
ASV_75	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
ASV_81	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_venetianus
ASV_100	Bacteria	Parcubacteria	Parcubacteria	Unassigned	Unassigned	Unassigned	Parcubacteria_genera_incertae_sedis	Unassigned
ASV_72	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dietziaceae	Dietzia	Unassigned
ASV_74	Bacteria	Firmicutes	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
ASV_90	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_98	Bacteria	Firmicutes	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Oceanirhabdus	Oceanirhabdus_sediminicola
ASV_85	Bacteria	Bacteroidetes	Bacteroidetes	Sphingobacteriia	Unassigned	Unassigned	Unassigned	Unassigned
ASV_105	Bacteria	Bacteroidetes	Bacteroidetes	Flavobacteriia	Unassigned	Unassigned	Unassigned	Unassigned
ASV_88	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unassigned	Unassigned
ASV_104	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_94	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter_celer
ASV_89	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unassigned	Unassigned
ASV_87	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Unassigned
ASV_103	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Unassigned
ASV_92	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola	Unassigned
